Point	Row	Column	110_s_Position
1	1	1	0.99899662
2	1	2	1.0054728
3	1	3	1.0069132
4	1	4	1.013941
5	1	5	1.0177535
6	1	6	1.0190883
7	1	7	1.0235045
8	1	8	1.0196301
9	1	9	1.026467
10	1	10	1.019156
11	1	11	1.0133241
12	2	1	0.92321151
13	2	2	0.92497295
14	2	3	0.92950559
15	2	4	0.93200541
16	2	5	0.93475825
17	2	6	0.94835258
18	2	7	0.95867103
19	2	8	0.96729183
20	2	9	0.9831804
21	2	10	0.993083
22	2	11	1.006007
23	3	1	0.92758179
24	3	2	0.92951822
25	3	3	0.93044287
26	3	4	0.93083835
27	3	5	0.93008482
28	3	6	0.93233109
29	3	7	0.93578112
30	3	8	0.9366743
31	3	9	0.94842696
32	3	10	0.9537943
33	3	11	0.96460098
34	4	1	0.96873724
35	4	2	0.97045368
36	4	3	0.96675026
37	4	4	0.96503609
38	4	5	0.961945
39	4	6	0.96491396
40	4	7	0.96206295
41	4	8	0.96826404
42	4	9	0.97504812
43	4	10	0.97553712
44	4	11	0.98595995
