Point	x_mm	y_mm	Ba_at	Zr_at	Y_at	Co_at	Fe_at	ASR	Temp_C
79	-4	26.75	0.46045807	0.0815669	0	0.20223999	0.25573504	145218.33	351
80	-8	26.75	0.46217692	0.08288499	0	0.20682494	0.24811314	69706.727	351
81	-12	26.75	0.46131793	0.085244209	0	0.21354851	0.23988935	61075.703	351
82	-16	26.75	0.46139589	0.086737499	0	0.22227596	0.22959064	41736.309	351
83	-20	26.75	0.46308491	0.085286841	0	0.23189674	0.21973149	33485.922	351
84	-24	26.75	0.46501431	0.083434962	0	0.24427693	0.2072738	30837.873	351
85	-28	26.75	0.46578604	0.081674479	0	0.25589782	0.19664168	26311.184	351
86	-32	26.75	0.46669513	0.079448208	0	0.26857921	0.18527743	28416.334	351
87	-36	26.75	0.47046128	0.073654771	0	0.27991322	0.17597073	73195.023	351
88	-40	26.75	0.46752927	0.072189376	0	0.28942296	0.1708584	198049.3	351
89	0	30.5	0.46643624	0.071995117	0	0.21030204	0.2512666	288635.72	351
90	-4	30.5	0.46208048	0.075608782	0	0.2166383	0.24567243	120730.62	351
91	-8	30.5	0.46221694	0.077455938	0	0.22230148	0.23802564	49170.574	351
92	-12	30.5	0.46088585	0.080295824	0	0.22956447	0.22925384	59074.508	351
93	-16	30.5	0.46019891	0.081475586	0	0.23881182	0.21951368	64688.535	351
94	-20	30.5	0.46149203	0.080845498	0	0.24807638	0.20958608	55544.613	351
95	-24	30.5	0.4623372	0.080305547	0	0.25938734	0.19796991	39687.738	351
96	-28	30.5	0.46274281	0.079211213	0	0.2695612	0.18848479	41063.129	351
97	-32	30.5	0.4630641	0.078108668	0	0.28094754	0.17787972	39261.207	351
98	-36	30.5	0.46615261	0.073352247	0	0.29067823	0.16981693	146713.64	351
99	-40	30.5	0.46335876	0.071898133	0	0.29947376	0.16526933	1595677.8	351
100	0	34.5	0.46873498	0.06668251	0	0.22365952	0.24092299	148248.3	351
101	-4	34.5	0.4642868	0.068590477	0	0.23228741	0.23483531	180270.56	351
102	-8	34.5	0.46232617	0.071105108	0	0.23945242	0.2271163	51028.137	351
103	-12	34.5	0.46058351	0.07424733	0	0.24755108	0.21761809	67460928	351
104	-16	34.5	0.4589251	0.074776329	0	0.25772849	0.20857008	52338.934	351
105	-20	34.5	0.4596585	0.075105645	0	0.26676995	0.1984659	33952.133	351
106	-24	34.5	0.45913109	0.076092929	0	0.27694187	0.18783411	29710.041	351
107	-28	34.5	0.45900017	0.075793669	0	0.28559002	0.17961612	39026.121	351
108	-32	34.5	0.45870864	0.075883992	0	0.29552054	0.16988681	45282.918	351
109	-36	34.5	0.46075383	0.072581097	0	0.30341077	0.16325432	2.2632018e+08	351
110	-40	34.5	0.45827356	0.071004547	0	0.3113606	0.1593613	137151.88	351
111	0	38.25	0.47089007	0.061701946	0	0.23618214	0.23122583	415695.53	351
112	-4	38.25	0.4663552	0.062010814	0	0.24695845	0.22467552	155804.14	351
113	-8	38.25	0.46242857	0.065151207	0	0.2555314	0.2168888	112771.37	351
114	-12	38.25	0.46030006	0.068576872	0	0.26441354	0.20670953	94729.07	351
115	-16	38.25	0.45773086	0.068495773	0	0.2754629	0.19831045	72734.156	351
116	-20	38.25	0.45793957	0.069724523	0	0.28429517	0.18804073	47995.223	351
117	-24	38.25	0.45612538	0.072143592	0	0.29339924	0.17833179	59022.672	351
118	-28	38.25	0.45549145	0.072589718	0	0.30061704	0.17130177	97716.102	351
119	-32	38.25	0.4546254	0.073798366	0	0.30918276	0.16239347	100372.5	351
120	-36	38.25	0.4556925	0.071858145	0	0.31534749	0.15710188	185423.08	351
121	-40	38.25	0.45350617	0.070166811	0	0.32250446	0.15382254	321793.34	351
122	0	42	0.4730452	0.056721382	0	0.24870476	0.22152866	2.061828e+08	351
123	-4	42	0.46842363	0.055431146	0	0.26162949	0.21451572	24441906	351
124	-8	42	0.46253097	0.059197303	0	0.27161041	0.2066613	2950364	351
125	-12	42	0.46001661	0.062906407	0	0.28127596	0.195801	134994.23	351
126	-16	42	0.45653668	0.062215216	0	0.29319727	0.18805082	753165.44	351
127	-20	42	0.45622063	0.064343415	0	0.3018204	0.17761557	78853.977	351
128	-24	42	0.45311964	0.068194263	0	0.30985662	0.1688295	91442.336	351
129	-28	42	0.45198277	0.069385767	0	0.31564406	0.1629874	903522.06	351
130	-32	42	0.45054215	0.071712747	0	0.32284498	0.15490012	3997236.8	351
131	-36	42	0.45063114	0.071135186	0	0.32728425	0.15094943	185573.88	351
132	-40	42	0.44873881	0.069329061	0	0.33364835	0.14828376	272250.41	351
