Point	x_mm	y_mm	Ba_at	Zr_at	Y_at	Co_at	Fe_at	ASR	Temp_C
1	0	0	0.46267036	0.07012859	0	0.17484495	0.2923561	1785788.8	265
2	-4	0	0.46390739	0.063459717	0	0.18761316	0.28501973	816531.38	265
3	-8	0	0.46337727	0.063215911	0	0.19955245	0.27385437	579403	265
4	-12	0	0.46365985	0.058493283	0	0.21344112	0.26440576	650080.38	265
5	-16	0	0.46379662	0.0574819	0	0.2270121	0.2517094	307756.69	265
6	-20	0	0.46489513	0.055643201	0	0.23787585	0.24158582	331470.22	265
7	-24	0	0.46171278	0.055092104	0	0.25026017	0.23293494	296543.59	265
8	-28	0	0.46266514	0.050491877	0	0.26205051	0.22479248	422795.53	265
9	-32	0	0.46372071	0.049901132	0	0.27159119	0.21478699	676636.25	265
10	-36	0	0.46006098	0.049638215	0	0.2818214	0.20847939	460526.06	265
11	-40	0	0.4552795	0.047562636	0	0.28856531	0.20859256	542678.69	265
12	0	3.75	0.46334517	0.074331537	0	0.17011282	0.29221046	944048.56	265
13	-4	3.75	0.46406907	0.069623597	0	0.18106027	0.28524709	459098.16	265
14	-8	3.75	0.46336934	0.06985791	0	0.19199628	0.27477649	619621.88	265
15	-12	3.75	0.46420193	0.065501735	0	0.20491484	0.26538152	223379.86	265
16	-16	3.75	0.46417478	0.063813917	0	0.21869311	0.25331822	41655.539	265
17	-20	3.75	0.46506414	0.061823383	0	0.2303084	0.2428041	67889.93	265
18	-24	3.75	0.46299246	0.060508084	0	0.24356866	0.23293081	62436.641	265
19	-28	3.75	0.46347293	0.056506831	0	0.25658134	0.22343887	102775.32	265
20	-32	3.75	0.46503955	0.054557532	0	0.26760554	0.21279736	190995.83	265
21	-36	3.75	0.46223038	0.05376691	0	0.27877453	0.20522816	539097.31	265
22	-40	3.75	0.45863053	0.051170666	0	0.28638664	0.20381217	476202.62	265
23	0	7.5	0.46402001	0.078534491	0	0.16538069	0.29206482	761522.06	265
24	-4	7.5	0.46423072	0.075787477	0	0.17450739	0.28547442	645715.81	265
25	-8	7.5	0.46336138	0.076499902	0	0.18444012	0.27569857	241361.31	265
26	-12	7.5	0.464744	0.072510183	0	0.19638854	0.26635727	118083.83	265
27	-16	7.5	0.46455291	0.070145935	0	0.2103741	0.25492704	88966.414	265
28	-20	7.5	0.46523312	0.068003558	0	0.22274095	0.24402237	42087.918	265
29	-24	7.5	0.46427211	0.065924063	0	0.23687711	0.23292671	72981.898	265
30	-28	7.5	0.46428075	0.062521785	0	0.25111219	0.22208527	87877.258	265
31	-32	7.5	0.46635845	0.059213933	0	0.2636199	0.21080773	1133141	265
32	-36	7.5	0.46439978	0.057895605	0	0.27572766	0.20197695	268964.31	265
33	-40	7.5	0.46198159	0.054778691	0	0.28420794	0.19903177	267003.97	265
34	0	11.5	0.46473983	0.083017632	0	0.16033308	0.29190946	527287.75	265
35	-4	11.5	0.46440318	0.082362279	0	0.16751763	0.28571692	239641.97	265
36	-8	11.5	0.46335292	0.083584689	0	0.17638023	0.27668217	187336.31	265
37	-12	11.5	0.4653222	0.079985864	0	0.18729386	0.26739809	110569.3	265
38	-16	11.5	0.46495628	0.07690008	0	0.20150051	0.25664312	96855.555	265
39	-20	11.5	0.46541336	0.074595757	0	0.21466902	0.24532187	52032.691	265
40	-24	11.5	0.46563709	0.071701117	0	0.22973947	0.23292232	79602.211	265
41	-28	11.5	0.4651424	0.068937734	0	0.24527845	0.2206414	49014.438	265
42	-32	11.5	0.46776527	0.064180762	0	0.25936854	0.20868543	89790.648	265
43	-36	11.5	0.46671379	0.06229955	0	0.27247766	0.19850899	169680.77	265
44	-40	11.5	0.46555603	0.058627248	0	0.28188404	0.19393267	220319.89	265
45	0	15.25	0.46529442	0.086246252	0	0.15796059	0.29049873	726650.38	265
46	-4	15.25	0.46437305	0.08744859	0	0.16352187	0.28465649	261880.02	265
47	-8	15.25	0.46329731	0.089072086	0	0.17137295	0.27625766	2657850.2	265
48	-12	15.25	0.46560559	0.086025864	0	0.18130624	0.26706231	88802.867	265
49	-16	15.25	0.46512204	0.082569063	0	0.19545676	0.25685215	97358.492	265
50	-20	15.25	0.46545669	0.0801742	0	0.20910166	0.24526744	74521.648	265
51	-24	15.25	0.46667397	0.076688297	0	0.2247875	0.23185022	74005.055	265
52	-28	15.25	0.46584016	0.074464187	0	0.24117848	0.21851717	58894.465	265
53	-32	15.25	0.46881607	0.06868431	0	0.25644201	0.20605761	89786.719	265
54	-36	15.25	0.46867174	0.066201791	0	0.27025688	0.19486959	123110.53	265
55	-40	15.25	0.46842149	0.062189002	0	0.28038865	0.18900086	137413.27	265
56	0	19	0.46506757	0.08314167	0	0.17092575	0.28086501	262691.56	265
57	-4	19	0.46309644	0.085530646	0	0.17614734	0.27522558	96552.359	265
58	-8	19	0.46293196	0.087054551	0	0.18293339	0.2670801	351638.47	265
59	-12	19	0.46420741	0.08577098	0	0.19182003	0.25820157	88679.305	265
60	-16	19	0.46390697	0.083928339	0	0.20420216	0.24796253	70482.602	265
61	-20	19	0.46468329	0.081841365	0	0.21653484	0.2369405	59548.855	265
62	-24	19	0.46613279	0.078888297	0	0.23114276	0.22383615	63208.844	265
63	-28	19	0.46582252	0.076815367	0	0.24597825	0.21138385	43978.023	265
64	-32	19	0.46812445	0.072194278	0	0.26039979	0.19928147	76197.789	265
65	-36	19	0.4692553	0.068632104	0	0.27340567	0.18870692	91798.25	265
66	-40	19	0.46813053	0.065449998	0	0.28333461	0.18308483	205050.91	265
67	0	23	0.4648256	0.079830118	0	0.18475525	0.27058905	613647.94	265
68	-4	23	0.46173471	0.083484836	0	0.1896145	0.26516595	132299.19	265
69	-8	23	0.46254227	0.084902517	0	0.19526452	0.25729069	89199.242	265
70	-12	23	0.46271607	0.0854991	0	0.20303473	0.24875011	120593.17	265
71	-16	23	0.46261093	0.08537823	0	0.21353057	0.23848027	15275209	265
72	-20	23	0.46385834	0.083619669	0	0.22446357	0.22805843	48363.656	265
73	-24	23	0.46555552	0.081234962	0	0.23792168	0.21528785	63837.918	265
74	-28	23	0.46580368	0.079323299	0	0.25109804	0.20377499	75776.344	265
75	-32	23	0.46738672	0.07593824	0	0.26462144	0.19205359	73952.398	265
76	-36	23	0.46987775	0.071224444	0	0.27676442	0.18213341	113798.01	265
77	-40	23	0.4678202	0.068928383	0	0.28647697	0.17677443	244963.89	265
78	0	26.75	0.46459872	0.076725543	0	0.19772041	0.2609553	655737.06	265
79	-4	26.75	0.46045807	0.0815669	0	0.20223999	0.25573504	201671.97	265
80	-8	26.75	0.46217692	0.08288499	0	0.20682494	0.24811314	74505.289	265
81	-12	26.75	0.46131793	0.085244209	0	0.21354851	0.23988935	73976.938	265
82	-16	26.75	0.46139589	0.086737499	0	0.22227596	0.22959064	52205.637	265
83	-20	26.75	0.46308491	0.085286841	0	0.23189674	0.21973149	59654.387	265
84	-24	26.75	0.46501431	0.083434962	0	0.24427693	0.2072738	95088.625	265
85	-28	26.75	0.46578604	0.081674479	0	0.25589782	0.19664168	65888.086	265
86	-32	26.75	0.46669513	0.079448208	0	0.26857921	0.18527743	79202.312	265
87	-36	26.75	0.47046128	0.073654771	0	0.27991322	0.17597073	154100.05	265
88	-40	26.75	0.46752927	0.072189376	0	0.28942296	0.1708584	236021.58	265
89	0	30.5	0.46643624	0.071995117	0	0.21030204	0.2512666	586951.5	265
90	-4	30.5	0.46208048	0.075608782	0	0.2166383	0.24567243	232592.17	265
91	-8	30.5	0.46221694	0.077455938	0	0.22230148	0.23802564	107976.54	265
92	-12	30.5	0.46088585	0.080295824	0	0.22956447	0.22925384	88253.617	265
93	-16	30.5	0.46019891	0.081475586	0	0.23881182	0.21951368	68357.289	265
