Point	Row	Column	_s_Area
1	1	1	0.33956361
2	1	2	0.33946949
3	1	3	0.33984077
4	1	4	0.33937439
5	1	5	0.339122
6	1	6	0.3428984
7	1	7	0.34304711
8	1	8	0.34575254
9	1	9	0.35000184
10	1	10	0.35810721
11	1	11	0.36907339
12	2	1	0.33569226
13	2	2	0.3356722
14	2	3	0.336393
15	2	4	0.3349717
16	2	5	0.33410588
17	2	6	0.33652809
18	2	7	0.33835971
19	2	8	0.34275967
20	2	9	0.3492333
21	2	10	0.3522974
22	2	11	0.36528826
23	3	1	0.34359902
24	3	2	0.34372559
25	3	3	0.34071499
26	3	4	0.34310937
27	3	5	0.34416756
28	3	6	0.3466056
29	3	7	0.34801716
30	3	8	0.34975713
31	3	9	0.35947141
32	3	10	0.3581019
33	3	11	0.3736791
34	4	1	0.046014
35	4	2	0.0460172
36	4	3	0.046076398
37	4	4	0.046743602
38	4	5	0.046761598
39	4	6	0.046306405
40	4	7	0.046536196
41	4	8	0.046234898
42	4	9	0.046475399
43	4	10	0.047878101
44	4	11	0.050163001
