Point	Row	Column	PeakArea_110
1	1	1	7.8472986
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	4.7215395
10	1	10	9.5996542
11	1	11	11.572503
12	2	1	11.783955
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	9.9647322
22	2	11	12.565702
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	11.356401
32	3	10	15.747901
33	3	11	19.81856
34	4	1	0.70689273
35	4	2	0.57706058
36	4	3	
37	4	4	
38	4	5	0.65860617
39	4	6	0.90003842
40	4	7	0.80459017
41	4	8	0.79121464
42	4	9	0.62613219
43	4	10	0.62214214
44	4	11	0.70346397
