Point	Row	Column	_s_MaxIntensity
1	1	1	0.0362822
2	1	2	0.0414466
3	1	3	0.041202694
4	1	4	0.043487001
5	1	5	0.0446392
6	1	6	0.032203
7	1	7	0.0273162
8	1	8	0.029919503
9	1	9	0.031991102
10	1	10	0.0295536
11	1	11	0.056446999
12	2	1	0.035686895
13	2	2	0.033332601
14	2	3	0.038905598
15	2	4	0.0437354
16	2	5	0.045024894
17	2	6	0.0305568
18	2	7	0.035545599
19	2	8	0.033905897
20	2	9	0.038820799
21	2	10	0.041503001
22	2	11	0.041738294
23	3	1	0.031098902
24	3	2	0.035397202
25	3	3	0.031578001
26	3	4	0.028949298
27	3	5	0.031184098
28	3	6	0.044367202
29	3	7	0.031571295
30	3	8	0.032911502
31	3	9	0.022328001
32	3	10	0.041320201
33	3	11	0.0463432
34	4	1	-0.83137578
35	4	2	-0.83172822
36	4	3	-0.8296662
37	4	4	-0.81043339
38	4	5	-0.81095117
39	4	6	-0.812639
40	4	7	-0.83021504
41	4	8	-0.81351262
42	4	9	-0.83008242
43	4	10	-0.84107918
44	4	11	-0.81306118
