Point	Row	Column	Co_at
1	1	1	0.1337828
2	1	2	0.133083
3	1	3	0.13199939
4	1	4	0.1324607
5	1	5	0.1329802
6	1	6	0.1325971
7	1	7	0.13438711
8	1	8	0.13645701
9	1	9	0.13629812
10	1	10	0.1387258
11	1	11	0.135536
12	2	1	0.13095509
13	2	2	0.1301768
14	2	3	0.13089301
15	2	4	0.1301077
16	2	5	0.13069439
17	2	6	0.1319409
18	2	7	0.13290539
19	2	8	0.13371788
20	2	9	0.1373577
21	2	10	0.13640951
22	2	11	0.13661619
23	3	1	0.13500722
24	3	2	0.1332455
25	3	3	0.1333846
26	3	4	0.13245909
27	3	5	0.13454589
28	3	6	0.1346727
29	3	7	0.13515928
30	3	8	0.13574721
31	3	9	0.1387049
32	3	10	0.1378963
33	3	11	0.1360306
34	4	1	0.0039873999
35	4	2	0.0039571999
36	4	3	0.0039459001
37	4	4	0.0065965001
38	4	5	0.0065954002
39	4	6	0.0065841009
40	4	7	0.0038789995
41	4	8	0.0066764001
42	4	9	0.0037515
43	4	10	0.0038166
44	4	11	0.0043162
