Point	Row	Column	Zr_at
1	1	1	0.1099117
2	1	2	0.1111344
3	1	3	0.10999139
4	1	4	0.1107673
5	1	5	0.1117324
6	1	6	0.1043704
7	1	7	0.1004393
8	1	8	0.10142241
9	1	9	0.10130481
10	1	10	0.090650402
11	1	11	0.095529102
12	2	1	0.11012189
13	2	2	0.1096737
14	2	3	0.1102507
15	2	4	0.1130182
16	2	5	0.11514679
17	2	6	0.1069992
18	2	7	0.1089884
19	2	8	0.10824829
20	2	9	0.1009929
21	2	10	0.099565901
22	2	11	0.093400188
23	3	1	0.10604461
24	3	2	0.1051098
25	3	3	0.1049007
26	3	4	0.10125069
27	3	5	0.10430979
28	3	6	0.1086062
29	3	7	0.10016749
30	3	8	0.10081491
31	3	9	0.092232101
32	3	10	0.097361997
33	3	11	0.089905903
34	4	1	0.016499599
35	4	2	0.016555199
36	4	3	0.017066799
37	4	4	0.0216516
38	4	5	0.0215938
39	4	6	0.021609902
40	4	7	0.016704299
41	4	8	0.021244699
42	4	9	0.0166458
43	4	10	0.0119533
44	4	11	0.0169085
