Point	Row	Column	Fe_at
1	1	1	0.2057808
2	1	2	0.20638651
3	1	3	0.20784138
4	1	4	0.20691369
5	1	5	0.2061418
6	1	6	0.21030129
7	1	7	0.20866001
8	1	8	0.20929553
9	1	9	0.21370372
10	1	10	0.21938141
11	1	11	0.23353741
12	2	1	0.20473719
13	2	2	0.2054954
14	2	3	0.20550001
15	2	4	0.204864
16	2	5	0.20341147
17	2	6	0.20458721
18	2	7	0.2054543
19	2	8	0.20904177
20	2	9	0.2118756
21	2	10	0.2158879
22	2	11	0.22867207
23	3	1	0.20859182
24	3	2	0.21048009
25	3	3	0.20733041
26	3	4	0.21065028
27	3	5	0.20962168
28	3	6	0.2119329
29	3	7	0.21285787
30	3	8	0.21400993
31	3	9	0.2207665
32	3	10	0.22020561
33	3	11	0.2376485
34	4	1	0.042026602
35	4	2	0.042059999
36	4	3	0.0421305
37	4	4	0.0401471
38	4	5	0.040166199
39	4	6	0.039722305
40	4	7	0.042657197
41	4	8	0.0395585
42	4	9	0.042723902
43	4	10	0.044061501
44	4	11	0.045846801
