Point	Row	Column	Norm_d
1	1	1	0.038198691
2	1	2	0.041479491
3	1	3	0.043293782
4	1	4	0.043792278
5	1	5	0.04134617
6	1	6	0.036952451
7	1	7	0.031503778
8	1	8	0.025156649
9	1	9	0.017882088
10	1	10	0.010514784
11	1	11	0.0045850021
12	2	1	0.038100149
13	2	2	0.041578028
14	2	3	0.043322764
15	2	4	0.043403916
16	2	5	0.040957808
17	2	6	0.036598869
18	2	7	0.031202361
19	2	8	0.024611782
20	2	9	0.017545894
21	2	10	0.010955315
22	2	11	0.0044980552
23	3	1	0.018282045
24	3	2	0.020362975
25	3	3	0.021249833
26	3	4	0.020333992
27	3	5	0.018560275
28	3	6	0.016114168
29	3	7	0.012972484
30	3	8	0.0084396498
31	3	9	0.0037155328
32	3	10	0
33	3	11	-0.0045444272
34	4	1	0.99809295
35	4	2	0.99364126
36	4	3	0.99138063
37	4	4	0.91470504
38	4	5	0.9142645
39	4	6	0.91815394
40	4	7	0.99156612
41	4	8	0.92578208
42	4	9	0.99492812
43	4	10	1
44	4	11	0.92898172
