Point	Row	Column	Zr_at
1	1	1	0.43594024
2	1	2	0.42567471
3	1	3	0.41386443
4	1	4	0.37670511
5	1	5	0.40057415
6	1	6	0.39452091
7	1	7	0.38789886
8	1	8	0.38713896
9	1	9	0.383625
10	1	10	0.38288501
11	1	11	0.38668165
12	2	1	0.4155471
13	2	2	0.40368244
14	2	3	0.3950122
15	2	4	0.39170009
16	2	5	0.38365933
17	2	6	0.37321231
18	2	7	0.37088841
19	2	8	0.36325851
20	2	9	0.36369559
21	2	10	0.35652897
22	2	11	0.3635022
23	3	1	0.40731764
24	3	2	0.39748877
25	3	3	0.38574129
26	3	4	0.37504566
27	3	5	0.36253685
28	3	6	0.35701165
29	3	7	0.35479653
30	3	8	0.34874019
31	3	9	0.34555471
32	3	10	0.3164919
33	3	11	0.34114829
34	4	1	0.41922951
35	4	2	0.40820709
36	4	3	0.39554581
37	4	4	0.3806895
38	4	5	0.37081751
39	4	6	0.36166221
40	4	7	0.3501088
41	4	8	0.3502731
42	4	9	0.34825864
43	4	10	0.34775421
44	4	11	0.34837878
