FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.33558Co0.17943Fe-0.01088Y0.24922Zr0.58223O3,01256,1,1,1,0.32820001,5.4000001,44.14201,0.8899915019674057,2.1499794710448565,1.489985772956668,137.3256887535707,1.3958323,1.578051,0.88849345,85.23725503585001,0.33558320426630106,0.6376063241747635,1.3624271148681864,1.6769800305862332,1.6110993801456037,13_June_2017,Pulsed Laser Deposition,BZYF631/ BZC19,700.0,20.2,850,N,353.0,20,1.0,ITO/EXG,35,0,0,0,0,28,0,31.5,180,0,0,0,0,0,0
Ba0.34455Co0.19259Fe-0.00817Y0.24324Zr0.57234O3,01256,2,1,2,0.33966999999999997,9.397999800000001,44.14201,0.8900003276903389,2.1500007916114927,1.4900005486051742,137.3270505626193,1.4050831000000001,1.5735175000000001,0.8861903916666667,84.73029348905,0.3445498731397026,0.6334147266381176,1.3663659867853344,1.6813548901189461,1.6207550441255885,13_June_2017,Pulsed Laser Deposition,BZYF631/ BZC19,700.0,20.2,850,N,353.0,20,1.0,ITO/EXG,35,0,0,0,0,28,0,31.5,180,0,0,0,0,0,0
Ba0.35532Co0.20352Fe-0.00737Y0.24293Zr0.56092O3,01256,3,1,3,0.35123000000000004,13.39599,44.14201,0.8899950214465498,2.1499879731573954,1.489991665118381,137.32623180920262,1.4115287,1.571134,0.885126675,84.3497704169,0.3553219876286601,0.6305185445018227,1.3684306832882462,1.6833654517511645,1.6280569719451004,13_June_2017,Pulsed Laser Deposition,BZYF631/ BZC19,700.0,20.2,850,N,353.0,20,1.0,ITO/EXG,35,0,0,0,0,28,0,31.5,180,0,0,0,0,0,0
Ba0.39604Co0.22Fe-0.02356Y0.27767Zr0.52589O3,01256,4,1,4,0.27954,17.393998999999997,44.14201,0.8900090506391851,2.1500218639036492,1.490015152193692,137.32839651362627,1.4086763,1.5789515,0.8899906333333334,84.30987142949999,0.3960359726082108,0.6318052278150667,1.3616769507509567,1.6741919480804557,1.6288531127515766,13_June_2017,Pulsed Laser Deposition,BZYF631/ BZC19,700.0,20.2,850,N,353.0,20,1.0,ITO/EXG,35,0,0,0,0,28,0,31.5,180,0,0,0,0,0,0
Ba0.38342Co0.22476Fe-0.00747Y0.22855Zr0.55416O3,01256,5,1,5,0.36509001,21.391991,44.14201,0.8900032927134642,2.1500079543078066,1.490005512520294,137.32750806568754,1.4247424999999998,1.563306,0.880592025,83.7007866157,0.38341858147469027,0.6246765943414087,1.3752956582446472,1.6920497463286635,1.640695549209195,13_June_2017,Pulsed Laser Deposition,BZYF631/ BZC19,700.0,20.2,850,N,353.0,20,1.0,ITO/EXG,35,0,0,0,0,28,0,31.5,180,0,0,0,0,0,0
Ba0.38667Co0.23634Fe-0.01028Y0.22687Zr0.54707O3,01256,6,1,6,0.36068001,25.391991,44.14201,0.8900043262074555,2.1500104509505946,1.4900072427518076,137.32766753381037,1.4298913,1.5609915,0.8792492000000001,83.4301685758,0.38666812044212867,0.622427960927838,1.377336424285843,1.6946358811037958,1.6460192982714894,13_June_2017,Pulsed Laser Deposition,BZYF631/ BZC19,700.0,20.2,850,N,353.0,20,1.0,ITO/EXG,35,0,0,0,0,28,0,31.5,180,0,0,0,0,0,0
Ba0.38716Co0.24597Fe-0.00999Y0.22594Zr0.53808O3,01256,7,1,7,0.34870999999999996,29.38802,44.14201,0.8900020681472355,2.150004996086018,1.4900034624037988,137.32731911511843,1.4354350999999999,1.5587895,0.878196875,83.11110409315,0.38715910033480555,0.6200225061705928,1.3792785979672162,1.6966622232671902,1.652334193048422,13_June_2017,Pulsed Laser Deposition,BZYF631/ BZC19,700.0,20.2,850,N,353.0,20,1.0,ITO/EXG,35,0,0,0,0,28,0,31.5,180,0,0,0,0,0,0
Ba0.38282Co0.25154Fe-0.01271Y0.22583Zr0.53535O3,01256,8,1,8,0.33581001,33.386009,44.14201,0.8899902243547334,2.149976384677165,1.4899836340320818,137.32549161793534,1.437164,1.5580715,0.8776954916666666,83.0286424258,0.38282420489171515,0.6192683815867454,1.3798958421851404,1.6976088497421056,1.6539532335562233,13_June_2017,Pulsed Laser Deposition,BZYF631/ BZC19,700.0,20.2,850,N,353.0,20,1.0,ITO/EXG,35,0,0,0,0,28,0,31.5,180,0,0,0,0,0,0
Ba0.37005Co0.25682Fe-0.01194Y0.22954Zr0.52559O3,01256,9,1,9,0.31674001,37.384009999999996,44.14201,0.8899897595659891,2.149975261872895,1.4899828559026111,137.32541990103212,1.4400449,1.5578275000000001,0.8778735166666667,82.8223048089,0.3700542578833801,0.618029173650064,1.3801112522874932,1.6972637032726046,1.6580729094401545,13_June_2017,Pulsed Laser Deposition,BZYF631/ BZC19,700.0,20.2,850,N,353.0,20,1.0,ITO/EXG,35,0,0,0,0,28,0,31.5,180,0,0,0,0,0,0
Ba0.36163Co0.2553Fe-0.01428Y0.23763Zr0.52135O3,01256,10,1,10,0.28920999,41.381989000000004,44.14201,0.889991371623796,2.1499791561698443,1.489985554740962,137.32566864155172,1.4371357,1.5604895,0.879478,82.934507619,0.36163350596622185,0.619281374489407,1.377759450588962,1.6941703541657234,1.6558326875517724,13_June_2017,Pulsed Laser Deposition,BZYF631/ BZC19,700.0,20.2,850,N,353.0,20,1.0,ITO/EXG,35,0,0,0,0,28,0,31.5,180,0,0,0,0,0,0
