Point	Row	Column	Fe_at
1	1	1	-0.0081499005
2	1	2	-0.006079
3	1	3	-0.0054384004
4	1	4	-0.0168775
5	1	5	-0.0054000993
6	1	6	-0.0074153999
7	1	7	-0.0072019994
8	1	8	-0.0091921994
9	1	9	-0.0087163998
10	1	10	-0.0104853
11	1	11	-0.0095959008
12	2	1	-0.0062481002
13	2	2	-0.0055289008
14	2	3	-0.0049867998
15	2	4	-0.0056695002
16	2	5	-0.0064308005
17	2	6	-0.0052303998
18	2	7	-0.0042697
19	2	8	-0.0064915
20	2	9	-0.0063311001
21	2	10	-0.0064304993
22	2	11	-0.0052834
23	3	1	-0.008177801
24	3	2	-0.0072552995
25	3	3	-0.0067354999
26	3	4	-0.0046607996
27	3	5	-0.0059594004
28	3	6	-0.0076641007
29	3	7	-0.0047799004
30	3	8	-0.0071767
31	3	9	-0.0081262998
32	3	10	-0.0151594
33	3	11	-0.0012117
34	4	1	-0.0106058
35	4	2	-0.0088315001
36	4	3	-0.0097677
37	4	4	-0.0096353004
38	4	5	-0.0079714004
39	4	6	-0.0077340999
40	4	7	-0.0080113001
41	4	8	-0.0097112004
42	4	9	-0.0089637013
43	4	10	-0.0094279004
44	4	11	-0.0073059993
