Point	Row	Column	Norm_d
1	1	1	0.30227357
2	1	2	0.37352467
3	1	3	0.44533482
4	1	4	0
5	1	5	0.53143245
6	1	6	0.5040378
7	1	7	0.42968071
8	1	8	0.34954652
9	1	9	0.2310846
10	1	10	0.060069572
11	1	11	-0.016275315
12	2	1	0.49366382
13	2	2	0.61523169
14	2	3	0.7173562
15	2	4	0.83532113
16	2	5	0.9014163
17	2	6	0.91905826
18	2	7	0.91464776
19	2	8	0.84817988
20	2	9	0.74903715
21	2	10	0.55919993
22	2	11	0.48701704
23	3	1	0.39110449
24	3	2	0.53484905
25	3	3	0.67902845
26	3	4	0.79183751
27	3	5	0.88166231
28	3	6	0.8847062
29	3	7	1
30	3	8	0.98248231
31	3	9	0.93682444
32	3	10	0.26574731
33	3	11	0.65287614
34	4	1	0.043607902
35	4	2	0.16585912
36	4	3	0.2873649
37	4	4	0.41216299
38	4	5	0.50335443
39	4	6	0.58510375
40	4	7	0.6149832
41	4	8	0.63858867
42	4	9	0.61982852
43	4	10	0.5710026
44	4	11	0.47248104
