Point	Y_at
1.	0.015705138
2.	0.028346647
3.	0.027932649
4.	0.03112927
5.	0.036160901
6.	0.03728376
7.	0.043073751
8.	0.047273858
9.	0.041697599
10.	0.044064727
11.	0.04961881
12.	0.015251239
13.	0.026119566
14.	0.0277234
15.	0.031396657
16.	0.035557901
17.	0.036922827
18.	0.040958329
19.	0.044927258
20.	0.040271942
21.	0.042870849
22.	0.04528546
23.	0.01479734
24.	0.023892488
25.	0.02751415
26.	0.031664047
27.	0.034954903
28.	0.036561899
29.	0.03884291
30.	0.042580658
31.	0.03884628
32.	0.041676968
33.	0.040952109
34.	0.014187315
35.	0.0199183
36.	0.028851369
37.	0.03461517
38.	0.037650492
39.	0.039510626
40.	0.038751792
41.	0.038595483
42.	0.037783698
43.	0.041938224
44.	0.033447716
45.	0.0038845854
46.	0.0098572025
47.	0.017785707
48.	0.023130601
49.	0.024825429
50.	0.02701233
51.	0.025841409
52.	0.029309682
53.	0.027250416
54.	0.030706037
55.	0.023545113
56.	0.0038845854
57.	0.0098572025
58.	0.017785707
59.	0.023130601
60.	0.024825429
61.	0.02701233
62.	0.025841409
63.	0.029309682
64.	0.027250416
65.	0.030706037
66.	0.023545113
67.	0.010834784
68.	0.018987143
69.	0.022002039
70.	0.023775018
71.	0.01736269
72.	0.022228163
73.	0.016820543
74.	0.041617167
75.	0.032982491
76.	0.029348118
77.	0.028054986
78.	0.012649004
79.	0.018391252
80.	0.020597739
81.	0.022931296
82.	0.018752318
83.	0.021884784
84.	0.019073153
85.	0.036592375
86.	0.029976582
87.	0.029470129
88.	0.029078529
89.	0.011832256
90.	0.017283828
91.	0.019394402
92.	0.021816327
93.	0.017913169
94.	0.020830984
95.	0.018351533
96.	0.034994071
97.	0.02861155
98.	0.02852165
99.	0.028248715
100.	0.021478208
101.	0.015491252
102.	0.013763483
103.	0.018825192
104.	0.025515178
105.	0.020213671
106.	0.030035853
107.	0.012138393
108.	0.015347831
109.	0.030063916
110.	0.034059759
111.	0.019663988
112.	0.016087143
113.	0.015167782
114.	0.019668913
115.	0.02412555
116.	0.02055705
117.	0.027783245
118.	0.017163184
119.	0.01835374
120.	0.029941903
121.	0.033036221
122.	0.017849768
123.	0.016683033
124.	0.016572081
125.	0.020512631
126.	0.02273592
127.	0.02090043
128.	0.025530634
129.	0.022187974
130.	0.021359647
131.	0.029819893
132.	0.032012679
