Point	ASR
1	2790991
2	2643336
3	3045145.8
4	2960008.5
5	3695455.5
6	5727751.5
7	8820964
8	10876508
9	15860016
10	15772994
11	18493614
12	1099903
13	2261318.5
14	2449499.8
15	2997393.5
16	4991048
17	10605388
18	12168959
19	14624742
20	18567756
21	16344136
22	14817950
23	1946530.8
24	2257234.2
25	3167039.5
26	6313659
27	8872486
28	11687667
29	10505800
30	19424782
31	17072672
32	14340428
33	12528672
34	1647451.1
35	2683548.5
36	7190163
37	6078039.5
38	2837486.5
39	1256637
40	1542522
41	2490968.8
42	3783420
43	11039871
44	14297388
45	2159216.8
46	3718389
47	9020455
48	5426787
49	1350884.9
50	1231190.1
51	1364707.9
52	2295561.8
53	4049827
54	13517331
55	17403480
56	2896234.2
57	4167322.8
58	14064596
59	7170371
60	1590588.4
61	1517703.4
62	1615092.8
63	2156075
64	3971601.5
65	18635928
66	27313634
67	2554114.8
68	4164181
69	14695742
70	11069088
71	1821495.4
72	1956898.1
73	2217336
74	2507619.2
75	3101066
76	12074083
77	26990994
78	2276084
79	3977256.2
80	10695866
81	7484530.5
82	2029783
83	2654017.5
84	2408030.8
85	2814552.8
86	4837738.5
87	16821658
88	2793818.2
89	2070309.5
90	2632654.8
91	6365809
92	5457260.5
93	1820238.8
94	1788194.5
95	1954384.8
96	2475260.8
97	7342844.5
98	17006698
99	30494812
100	2313468.8
101	3767083.8
102	4582641
103	8631526
104	7167229.5
105	6139614.5
106	6558703
107	7781411
108	12539667
109	25965892
110	37246724
111	2464893.5
112	4310893.5
113	4864756
114	6102543.5
115	7575322.5
116	8767871
117	12279857
118	16857786
119	26005476
120	56206548
121	49709108
122	5242375.5
123	6616194
124	6666145.5
125	9439858
126	12563857
127	16629392
128	49323632
129	48198316
130	84542456
131	1.1512115e+08
132	97978424
