Point	ASR
1	41061.871
2	2062506.8
3	4712448.5
4	652320.31
5	582821.31
6	1198517.6
7	3575178.8
8	36549.289
9	3324747.5
10	5849700.5
11	4030663.2
12	13709956
13	5972213
14	1801430.4
15	606683
16	1179709.6
17	2213252
18	3281079.2
19	2944614.8
20	7200530.5
21	13398264
22	23901288
23	565224.5
24	2466523.2
25	684289.94
26	974207.88
27	1445446.8
28	2332004.2
29	1887154.8
30	2979853.5
31	4621355
32	4397915.5
33	2785389.2
34	409600.84
35	434482.25
36	953787.5
37	1014294.6
38	444581.81
39	177407.38
40	230479.8
41	335968.19
42	576171.25
43	1474715.2
44	1672946.8
45	198485.83
46	274575.19
47	1145424.6
48	816657
49	164037.06
50	165457.59
51	173318.97
52	257547.77
53	423800.84
54	2392951
55	4012128
56	873676.94
57	3565707.8
58	13696716
59	11389844
60	5378721
61	5576013
62	7853981.5
63	11223968
64	9137951
65	29034600
66	21861400
67	26458542
68	17171318
69	21255074
70	20187874
71	11654052
72	11425344
73	9336185
74	9199840
75	8883482
76	12214198
77	11918260
78	4587982
79	7007008.5
80	8333388.5
81	7642238.5
82	6926583.5
83	6829194
84	6182874.5
85	5723982
86	4349535
87	5316611.5
88	3837863.8
89	1793221.1
90	3688638.2
91	3768654.5
92	3857247.5
93	3005687.2
94	2935472.8
95	2668971.5
96	2291666.2
97	2170777.8
98	1737583.5
99	1286576.5
100	992272.06
101	1375954.8
102	1653954.2
103	2011059.1
104	2293834
105	2139518.8
106	2077880.8
107	1941410
108	1586849.9
109	1116396.4
110	737963.25
111	1219786.1
112	1412460
113	1915114.9
114	2356320.2
115	2424492.8
116	2468537.8
117	2272565.2
118	2111307.2
119	1532437.5
120	887751.25
121	560419.31
122	1258145
123	1304295
124	1733782.1
125	1710251.6
126	1411203.4
127	1171405.6
128	987371.12
129	1086205.6
130	829474.69
131	446219.25
132	330756.31
