Point	Ba_at
1.	0.46669331
2.	0.4524342
3.	0.44163063
4.	0.44024275
5.	0.43037441
6.	0.4332566
7.	0.42138708
8.	0.42930033
9.	0.42821762
10.	0.42877215
11.	0.43120489
12.	0.46243938
13.	0.45053353
14.	0.44116074
15.	0.43979207
16.	0.43088738
17.	0.4335131
18.	0.42375227
19.	0.42976978
20.	0.42797883
21.	0.42929775
22.	0.43240541
23.	0.45818547
24.	0.44863284
25.	0.44069088
26.	0.4393414
27.	0.43140034
28.	0.43376964
29.	0.42611746
30.	0.43023924
31.	0.42774007
32.	0.42982334
33.	0.43360591
34.	0.44963888
35.	0.44638678
36.	0.43903759
37.	0.43892354
38.	0.43068664
39.	0.43467516
40.	0.42909688
41.	0.43271029
42.	0.42630548
43.	0.43274913
44.	0.44017431
45.	0.46344153
46.	0.45816869
47.	0.45271379
48.	0.45133067
49.	0.44492484
50.	0.44689944
51.	0.44313117
52.	0.44361249
53.	0.43953546
54.	0.44328857
55.	0.44865033
56.	0.46344153
57.	0.45816869
58.	0.45271379
59.	0.45133067
60.	0.44492484
61.	0.44689944
62.	0.44313117
63.	0.44361249
64.	0.43953546
65.	0.44328857
66.	0.44865033
67.	0.4567223
68.	0.44393763
69.	0.44539112
70.	0.43917386
71.	0.44038376
72.	0.43232798
73.	0.43787036
74.	0.4193729
75.	0.42611882
76.	0.41720647
77.	0.41374963
78.	0.45185065
79.	0.43999005
80.	0.4429701
81.	0.43701406
82.	0.43911979
83.	0.43264776
84.	0.43694189
85.	0.42445591
86.	0.43044393
87.	0.42275497
88.	0.41890351
89.	0.45262238
90.	0.44081857
91.	0.44402017
92.	0.43806546
93.	0.44030321
94.	0.43400695
95.	0.43815798
96.	0.42640742
97.	0.4323277
98.	0.42475927
99.	0.42083313
100.	0.42814201
101.	0.42077842
102.	0.4311878
103.	0.42650309
104.	0.43296837
105.	0.43420404
106.	0.43242334
107.	0.44919321
108.	0.4514928
109.	0.44975758
110.	0.44398579
111.	0.43301364
112.	0.42472601
113.	0.43360883
114.	0.42866289
115.	0.43423235
116.	0.43388426
117.	0.43335181
118.	0.44411021
119.	0.44716769
120.	0.4442091
121.	0.4388319
122.	0.43788528
123.	0.42867361
124.	0.43602985
125.	0.43082268
126.	0.43549636
127.	0.43356448
128.	0.43428029
129.	0.43902719
130.	0.44284257
131.	0.43866061
132.	0.433678
