Point	ASR
1	99714.148
2	1404528
3	1367091.1
4	1184066.2
5	1141968.9
6	1939933.5
7	3837141.2
8	5067075
9	4267853.5
10	7648521.5
11	4921305
12	998345.5
13	2064255.4
14	1958154.8
15	883575.75
16	1769800.5
17	5367097
18	10453021
19	13479946
20	12045495
21	11447649
22	15553711
23	408863.91
24	1753756.2
25	2271371.5
26	2700199
27	3078446.8
28	2536004.5
29	5253057
30	8892906
31	8646291
32	6887313.5
33	4018725.2
34	966385.31
35	1615494
36	2711822.8
37	1776961.6
38	1149273.4
39	533520.94
40	553894.19
41	880667.12
42	1695585.9
43	5952690
44	3791987
45	1386384.9
46	1499887.8
47	2489796.8
48	2677265.2
49	649765.75
50	717099.94
51	895121.06
52	662467.62
53	1638026.4
54	5996043.5
55	4479987.5
56	1528790.1
57	1705256.5
58	4806637
59	2219302.8
60	724527.38
61	625260.62
62	777617.06
63	939092.69
64	1269272.4
65	6548335.5
66	5061184
67	1058170.2
68	83190.695
69	2407155.8
70	1998757.4
71	603437.12
72	582639.75
73	518129.06
74	1086121.8
75	1524051.4
76	4571086
77	6840189.5
78	1536306.4
79	1120292
80	3176150.2
81	2343066.5
82	746205.06
83	856084
84	1056706.1
85	1059726.6
86	2071323
87	5412336
88	5413033
89	636243.69
90	637185.19
91	1377902.5
92	2022243.2
93	906663.62
94	581288.88
95	908234.44
96	785781.31
97	1881881.4
98	3965632.5
99	6312402
100	2170918.2
101	1585561.8
102	1508963.9
103	2007477.8
104	1799504.2
105	2085075
106	1882128.1
107	2605951
108	4819258
109	5839278.5
110	9509915
111	6637871
112	3111810.5
113	1121299
114	1801444.4
115	1857937.9
116	2557884.8
117	3889348.8
118	4747575
119	8632468
120	14925707
121	39220584
122	1293768.1
123	3220132.5
124	1918632
125	1996796.2
126	3647443.2
127	6663377.5
128	40243848
129	25385326
130	77465080
131	41235916
132	1.1239802e+08
