Point	Co_at
1.	0.27002433
2.	0.25789768
3.	0.25167254
4.	0.24139375
5.	0.23377328
6.	0.22639912
7.	0.22911808
8.	0.22347303
9.	0.22217107
10.	0.21412563
11.	0.20502436
12.	0.27386707
13.	0.26020472
14.	0.25108415
15.	0.23904105
16.	0.23102265
17.	0.22251424
18.	0.22314829
19.	0.21720599
20.	0.21481766
21.	0.20746608
22.	0.19865392
23.	0.27770978
24.	0.26251179
25.	0.25049573
26.	0.23668835
27.	0.22827201
28.	0.21862938
29.	0.21717848
30.	0.21093895
31.	0.20746423
32.	0.20080653
33.	0.19228348
34.	0.28725476
35.	0.26679611
36.	0.24763553
37.	0.22985482
38.	0.22170025
39.	0.20892717
40.	0.2043166
41.	0.19953109
42.	0.19451609
43.	0.18852917
44.	0.1813271
45.	0.28973053
46.	0.27058387
47.	0.25201999
48.	0.23387309
49.	0.22419202
50.	0.21171822
51.	0.20594087
52.	0.19875919
53.	0.19288346
54.	0.18728055
55.	0.17888695
56.	0.28973053
57.	0.27058387
58.	0.25201999
59.	0.23387309
60.	0.22419202
61.	0.21171822
62.	0.20594087
63.	0.19875919
64.	0.19288346
65.	0.18728055
66.	0.17888695
67.	0.26055399
68.	0.25100338
69.	0.24136648
70.	0.22826729
71.	0.21665388
72.	0.2142759
73.	0.21079884
74.	0.19838606
75.	0.19715492
76.	0.20019482
77.	0.18909553
78.	0.27506658
79.	0.26569068
80.	0.25426385
81.	0.23943868
82.	0.22646815
83.	0.21892704
84.	0.21072477
85.	0.1963672
86.	0.18940252
87.	0.18734552
88.	0.17642651
89.	0.27743725
90.	0.26803175
91.	0.25630025
92.	0.24115977
93.	0.22793387
94.	0.21965779
95.	0.21077553
96.	0.19607594
97.	0.18830306
98.	0.18555099
99.	0.17459437
100.	0.34569451
101.	0.3371689
102.	0.31703106
103.	0.29380617
104.	0.27423096
105.	0.24156263
106.	0.2103643
107.	0.18654211
108.	0.15167415
109.	0.12481229
110.	0.11477058
111.	0.33118194
112.	0.3224816
113.	0.30413368
114.	0.28263476
115.	0.26441669
116.	0.23691148
117.	0.21043837
118.	0.18856096
119.	0.15942656
120.	0.13766158
121.	0.1274396
122.	0.31666934
123.	0.3077943
124.	0.29123631
125.	0.27146337
126.	0.2546024
127.	0.23226033
128.	0.21051244
129.	0.19057982
130.	0.16717896
131.	0.15051088
132.	0.14010863
