Point	Row	Column	_s_MaxIntensity
1	1	1	0.027241373
2	1	2	0.034968894
3	1	3	0.03001035
4	1	4	0.05923561
5	1	5	0.038469549
6	1	6	0.066605039
7	1	7	0.053632375
8	1	8	0.049587891
9	1	9	0.063652135
10	1	10	0.082037263
11	1	11	0.089878321
12	2	1	0.034637701
13	2	2	0.036748383
14	2	3	0.042638164
15	2	4	0.040170606
16	2	5	0.039135803
17	2	6	0.038813557
18	2	7	0.057169344
19	2	8	0.065702379
20	2	9	0.068115093
21	2	10	0.084608577
22	2	11	0.086468473
23	3	1	0.016892344
24	3	2	0.027420916
25	3	3	0.034230884
26	3	4	0.035940204
27	3	5	0.041809816
28	3	6	0.052349407
29	3	7	0.049122144
30	3	8	0.052119933
31	3	9	0.075633615
32	3	10	0.06334962
33	3	11	0.079070859
34	4	1	0.035972316
35	4	2	0.018773148
36	4	3	0.012634777
37	4	4	0.03078698
38	4	5	0.035861112
39	4	6	0.044077214
40	4	7	0.037953906
41	4	8	0.047451615
42	4	9	0.055033408
43	4	10	0.040381517
44	4	11	0.069429316
