Point	Row	Column	FWHM_110
1	1	1	0.58251679
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	0.58977646
7	1	7	0.50000346
8	1	8	0.46212262
9	1	9	0.48303336
10	1	10	0.49010181
11	1	11	0.55419463
12	2	1	0.50247347
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	0.45331421
20	2	9	0.42867744
21	2	10	0.45941958
22	2	11	0.44034666
23	3	1	0.58103317
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	0.63739133
30	3	8	0.5087896
31	3	9	0.49684837
32	3	10	0.46725035
33	3	11	0.4508898
34	4	1	0.53144723
35	4	2	0.46305388
36	4	3	0.41941574
37	4	4	0.50085509
38	4	5	0.49098745
39	4	6	0.51435709
40	4	7	0.49166268
41	4	8	0.48202494
42	4	9	0.46303326
43	4	10	0.49492872
44	4	11	0.5054841
