Point	Row	Column	MaxInt_200
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	340.39197
8	1	8	295.46768
9	1	9	
10	1	10	
11	1	11	
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	363.80429
20	2	9	344.64896
21	2	10	211.37213
22	2	11	224.6255
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	215.71568
30	3	8	342.09839
31	3	9	394.28607
32	3	10	378.28699
33	3	11	339.21655
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	294.01721
39	4	6	326.75186
40	4	7	273.93289
41	4	8	273.73502
42	4	9	266.97223
43	4	10	274.64688
44	4	11	291.58157
