Point	Row	Column	110_s_Area
1	1	1	0.52376896
2	1	2	0.50740767
3	1	3	0.50409472
4	1	4	0.47084647
5	1	5	0.46966377
6	1	6	0.4414584
7	1	7	0.43193978
8	1	8	0.42041039
9	1	9	0.39627454
10	1	10	0.39674819
11	1	11	0.42953941
12	2	1	0.51022804
13	2	2	0.49715671
14	2	3	0.48269656
15	2	4	0.46548361
16	2	5	0.45293638
17	2	6	0.43552643
18	2	7	0.4181478
19	2	8	0.39488032
20	2	9	0.38737252
21	2	10	0.36862335
22	2	11	0.40062323
23	3	1	0.52023464
24	3	2	0.5078885
25	3	3	0.47567439
26	3	4	0.46118084
27	3	5	0.44250071
28	3	6	0.42376816
29	3	7	0.39998028
30	3	8	0.38803601
31	3	9	0.3697345
32	3	10	0.36761561
33	3	11	0.38270941
34	4	1	0.51029569
35	4	2	0.50022876
36	4	3	0.49199015
37	4	4	0.46752471
38	4	5	0.44396713
39	4	6	0.43052313
40	4	7	0.40273491
41	4	8	0.38832963
42	4	9	0.37754869
43	4	10	0.38387713
44	4	11	0.40033859
