Point	Row	Column	MaxInt_110
1	1	1	178.18953
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	247.24023
7	1	7	704.38452
8	1	8	1104.1737
9	1	9	1344.542
10	1	10	1197.9264
11	1	11	1073.8293
12	2	1	225.96756
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	837.03137
20	2	9	1633.1163
21	2	10	1739.4037
22	2	11	1568.1991
23	3	1	297.82059
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	301.74857
30	3	8	761.36334
31	3	9	1016.8516
32	3	10	1383.2948
33	3	11	1248.0533
34	4	1	416.7251
35	4	2	333.34503
36	4	3	329.30356
37	4	4	471.25067
38	4	5	620.72736
39	4	6	758.96576
40	4	7	967.37109
41	4	8	1022.1274
42	4	9	778.97107
43	4	10	777.50085
44	4	11	702.617
