Point	Row	Column	_s_FWHM
1	1	1	0.48987034
2	1	2	0.51935071
3	1	3	0.51121807
4	1	4	0.56890744
5	1	5	0.55261308
6	1	6	0.60713744
7	1	7	0.60255206
8	1	8	0.60682237
9	1	9	0.64398974
10	1	10	0.66340739
11	1	11	0.63812178
12	2	1	0.51557863
13	2	2	0.52988279
14	2	3	0.54959917
15	2	4	0.55741668
16	2	5	0.57429403
17	2	6	0.58461308
18	2	7	0.62281895
19	2	8	0.65309632
20	2	9	0.66031128
21	2	10	0.69588268
22	2	11	0.66036272
23	3	1	0.48221719
24	3	2	0.50474238
25	3	3	0.54421961
26	3	4	0.5563181
27	3	5	0.58227223
28	3	6	0.60969275
29	3	7	0.62775648
30	3	8	0.64602947
31	3	9	0.68397415
32	3	10	0.67336684
33	3	11	0.67491609
34	4	1	0.51345658
35	4	2	0.50549769
36	4	3	0.50194621
37	4	4	0.5419004
38	4	5	0.57858711
39	4	6	0.58856827
40	4	7	0.6176827
41	4	8	0.6363377
42	4	9	0.65599656
43	4	10	0.63250279
44	4	11	0.65092075
