Point	Row	Column	Fe_at
1	1	1	0.26188448
2	1	2	0.25370383
3	1	3	0.25204736
4	1	4	0.23542324
5	1	5	0.23483188
6	1	6	0.2207292
7	1	7	0.21596989
8	1	8	0.2102052
9	1	9	0.19813727
10	1	10	0.19837409
11	1	11	0.21476971
12	2	1	0.25511402
13	2	2	0.24857835
14	2	3	0.24134828
15	2	4	0.2327418
16	2	5	0.22646819
17	2	6	0.21776322
18	2	7	0.2090739
19	2	8	0.19744016
20	2	9	0.19368626
21	2	10	0.18431167
22	2	11	0.20031162
23	3	1	0.26011732
24	3	2	0.25394425
25	3	3	0.2378372
26	3	4	0.23059042
27	3	5	0.22125036
28	3	6	0.21188408
29	3	7	0.19999014
30	3	8	0.19401801
31	3	9	0.18486725
32	3	10	0.18380781
33	3	11	0.19135471
34	4	1	0.25514784
35	4	2	0.25011438
36	4	3	0.24599507
37	4	4	0.23376235
38	4	5	0.22198357
39	4	6	0.21526156
40	4	7	0.20136745
41	4	8	0.19416481
42	4	9	0.18877435
43	4	10	0.19193856
44	4	11	0.2001693
