Point	Row	Column	Zr_at
1	1	1	0.24493517
2	1	2	0.25967535
3	1	3	0.25560904
4	1	4	0.28445372
5	1	5	0.27630654
6	1	6	0.30356872
7	1	7	0.30127603
8	1	8	0.30341119
9	1	9	0.32199487
10	1	10	0.33170369
11	1	11	0.31906089
12	2	1	0.25778931
13	2	2	0.26494139
14	2	3	0.27479959
15	2	4	0.27870834
16	2	5	0.28714702
17	2	6	0.29230654
18	2	7	0.31140947
19	2	8	0.32654816
20	2	9	0.33015564
21	2	10	0.34794134
22	2	11	0.33018136
23	3	1	0.2411086
24	3	2	0.25237119
25	3	3	0.27210981
26	3	4	0.27815905
27	3	5	0.29113612
28	3	6	0.30484638
29	3	7	0.31387824
30	3	8	0.32301474
31	3	9	0.34198707
32	3	10	0.33668342
33	3	11	0.33745804
34	4	1	0.25672829
35	4	2	0.25274885
36	4	3	0.25097311
37	4	4	0.2709502
38	4	5	0.28929356
39	4	6	0.29428414
40	4	7	0.30884135
41	4	8	0.31816885
42	4	9	0.32799828
43	4	10	0.3162514
44	4	11	0.32546037
