Point	Row	Column	Co_at
1	1	1	0.0068010488
2	1	2	0.0041052736
3	1	3	0.0073487875
4	1	4	0.0097408667
5	1	5	0.0080963559
6	1	6	0.009004591
7	1	7	0.009570281
8	1	8	0.011177574
9	1	9	0.011693926
10	1	10	0.010940834
11	1	11	0.011108556
12	2	1	0.0044155139
13	2	2	0.0048544453
14	2	3	0.0051712133
15	2	4	0.0086351708
16	2	5	0.0059527047
17	2	6	0.0093370089
18	2	7	0.008101305
19	2	8	0.0088628568
20	2	9	0.010215636
21	2	10	0.01005128
22	2	11	0.012741267
23	3	1	0.0072202557
24	3	2	0.007395016
25	3	3	0.0071684378
26	3	4	0.009220643
27	3	5	0.0085184276
28	3	6	0.0094442451
29	3	7	0.010692704
30	3	8	0.0090272054
31	3	9	0.010962475
32	3	10	0.011183582
33	3	11	0.010722686
34	4	1	0.0061100097
35	4	2	0.0065233288
36	4	3	0.0093491999
37	4	4	0.010680931
38	4	5	0.0066534267
39	4	6	0.012492904
40	4	7	0.0087681552
41	4	8	0.011392158
42	4	9	0.010744067
43	4	10	0.012000807
44	4	11	0.0090849986
