Point	Row	Column	d_um
1	1	1	0.07474
2	1	2	0.079669997
3	1	3	0.084069997
4	1	4	0.088189997
5	1	5	0.088540003
6	1	6	0.090559997
7	1	7	0.088830002
8	1	8	0.086669996
9	1	9	0.084200002
10	1	10	0.079539999
11	1	11	0.074940003
12	2	1	0.093889996
13	2	2	0.1015
14	2	3	0.10945
15	2	4	0.11304
16	2	5	0.11815
17	2	6	0.11901
18	2	7	0.11793
19	2	8	0.11479
20	2	9	0.10985
21	2	10	0.10401
22	2	11	0.095880002
23	3	1	0.091559999
24	3	2	0.10021
25	3	3	0.10786
26	3	4	0.11463
27	3	5	0.11824
28	3	6	0.12053
29	3	7	0.12054
30	3	8	0.11751
31	3	9	0.11443
32	3	10	0.10687
33	3	11	0.098530002
34	4	1	0.072889999
35	4	2	0.077540003
36	4	3	0.083099999
37	4	4	0.089670002
38	4	5	0.091499999
39	4	6	0.094659999
40	4	7	0.095559999
41	4	8	0.094499998
42	4	9	0.09189
43	4	10	0.087130003
44	4	11	0.083049998
