Point	Row	Column	_s_Position
1	1	1	0.10958134
2	1	2	0.1324147
3	1	3	0.13901398
4	1	4	0.16753057
5	1	5	0.16481419
6	1	6	0.17046638
7	1	7	0.22578217
8	1	8	0.2302645
9	1	9	0.2073599
10	1	10	0.19147916
11	1	11	0.13672188
12	2	1	0.13196841
13	2	2	0.11505649
14	2	3	0.14174488
15	2	4	0.15937802
16	2	5	0.16440475
17	2	6	0.17659232
18	2	7	0.20387036
19	2	8	0.22179478
20	2	9	0.21985959
21	2	10	0.19254334
22	2	11	0.1643225
23	3	1	0.11766505
24	3	2	0.14214532
25	3	3	0.14046672
26	3	4	0.16763297
27	3	5	0.1805229
28	3	6	0.20827593
29	3	7	0.2150133
30	3	8	0.21598263
31	3	9	0.23114587
32	3	10	0.21149369
33	3	11	0.17401554
34	4	1	0.14574517
35	4	2	0.15303974
36	4	3	0.169827
37	4	4	0.19720268
38	4	5	0.19403264
39	4	6	0.20033216
40	4	7	0.20967901
41	4	8	0.231417
42	4	9	0.22904351
43	4	10	0.2068249
44	4	11	0.15339395
