Point	Row	Column	Norm_d
1	1	1	0.24624428
2	1	2	0.34029463
3	1	3	0.40865386
4	1	4	0.43584737
5	1	5	0.44320956
6	1	6	0.41210958
7	1	7	0.3850663
8	1	8	0.31730786
9	1	9	0.19486187
10	1	10	0.092397884
11	1	11	0
12	2	1	0.64663517
13	2	2	0.77944773
14	2	3	0.88206196
15	2	4	0.9705531
16	2	5	0.99023461
17	2	6	0.94846827
18	2	7	0.92262644
19	2	8	0.82752424
20	2	9	0.69636476
21	2	10	0.54672503
22	2	11	0.38641846
23	3	1	0.57992816
24	3	2	0.72070324
25	3	3	0.83984393
26	3	4	0.92472976
27	3	5	0.96799928
28	3	6	1
29	3	7	0.94305962
30	3	8	0.87409925
31	3	9	0.75946552
32	3	10	0.62650269
33	3	11	0.46138865
34	4	1	0.10817313
35	4	2	0.20417678
36	4	3	0.30483806
37	4	4	0.37530068
38	4	5	0.42608196
39	4	6	0.43795094
40	4	7	0.43825141
41	4	8	0.3928788
42	4	9	0.33518645
43	4	10	0.24609405
44	4	11	0.14978974
