Point	Row	Column	110_s_Position
1	1	1	0.013091199
2	1	2	0.0160306
3	1	3	0.015917601
4	1	4	0.019185401
5	1	5	0.018553197
6	1	6	0.0188036
7	1	7	0.029397201
8	1	8	0.0299272
9	1	9	0.0242626
10	1	10	0.0283406
11	1	11	0.029462799
12	2	1	0.015405199
13	2	2	0.013189798
14	2	3	0.016399598
15	2	4	0.017379602
16	2	5	0.017662201
17	2	6	0.019608598
18	2	7	0.021693602
19	2	8	0.023961203
20	2	9	0.023700597
21	2	10	0.025907399
22	2	11	0.0284086
23	3	1	0.0135376
24	3	2	0.016038202
25	3	3	0.015103602
26	3	4	0.018689603
27	3	5	0.021100599
28	3	6	0.022313604
29	3	7	0.022552397
30	3	8	0.021971997
31	3	9	0.026276199
32	3	10	0.024994999
33	3	11	0.029246997
34	4	1	0.018445799
35	4	2	0.019012799
36	4	3	0.021663198
37	4	4	0.0240028
38	4	5	0.022673801
39	4	6	0.0220742
40	4	7	0.0221962
41	4	8	0.025722001
42	4	9	0.026301799
43	4	10	0.027052198
44	4	11	0.027314801
