Point	Row	Column	_s_FWHM
1	1	1	0.83054614
2	1	2	0.84578359
3	1	3	0.85950607
4	1	4	0.8700521
5	1	5	0.87587231
6	1	6	0.88578898
7	1	7	0.88217801
8	1	8	0.89085841
9	1	9	0.90894598
10	1	10	0.90803361
11	1	11	0.89301121
12	2	1	0.84161949
13	2	2	0.85431409
14	2	3	0.8636021
15	2	4	0.87666011
16	2	5	0.89301711
17	2	6	0.90022874
18	2	7	0.90296692
19	2	8	0.9169203
20	2	9	0.92447448
21	2	10	0.92539901
22	2	11	0.9173854
23	3	1	0.83741802
24	3	2	0.8553881
25	3	3	0.86970007
26	3	4	0.88179588
27	3	5	0.8873508
28	3	6	0.90460396
29	3	7	0.91265112
30	3	8	0.92749453
31	3	9	0.92870641
32	3	10	0.93749642
33	3	11	0.92144269
34	4	1	0.83864659
35	4	2	0.84760261
36	4	3	0.85477114
37	4	4	0.87318718
38	4	5	0.88184363
39	4	6	0.89764118
40	4	7	0.90391183
41	4	8	0.90511841
42	4	9	0.91611838
43	4	10	0.91684371
44	4	11	0.91159558
