Point	Row	Column	Y_at
1	1	1	0.09325359
2	1	2	0.089536101
3	1	3	0.085071608
4	1	4	0.083539911
5	1	5	0.077769496
6	1	6	0.072414801
7	1	7	0.0689198
8	1	8	0.062500097
9	1	9	0.0578111
10	1	10	0.0520126
11	1	11	0.050350402
12	2	1	0.098099589
13	2	2	0.094519891
14	2	3	0.09224049
15	2	4	0.086896211
16	2	5	0.07811071
17	2	6	0.073474795
18	2	7	0.070475906
19	2	8	0.064821005
20	2	9	0.060455795
21	2	10	0.052475099
22	2	11	0.049926899
23	3	1	0.096592002
24	3	2	0.092829309
25	3	3	0.088604808
26	3	4	0.082913511
27	3	5	0.077251904
28	3	6	0.071028516
29	3	7	0.069645494
30	3	8	0.059866592
31	3	9	0.0569808
32	3	10	0.0541922
33	3	11	0.048396796
34	4	1	0.086868502
35	4	2	0.088332497
36	4	3	0.08518479
37	4	4	0.078366101
38	4	5	0.076040603
39	4	6	0.068283997
40	4	7	0.065157302
41	4	8	0.063550703
42	4	9	0.0556821
43	4	10	0.055199794
44	4	11	0.0503559
