Point	Row	Column	Fe_at
1	1	1	0.023320798
2	1	2	0.0222506
3	1	3	0.020667102
4	1	4	0.019037003
5	1	5	0.018865999
6	1	6	0.0181749
7	1	7	0.0178518
8	1	8	0.017528599
9	1	9	0.017120499
10	1	10	0.0228319
11	1	11	0.039142199
12	2	1	0.021480897
13	2	2	0.022064498
14	2	3	0.020724697
15	2	4	0.018571801
16	2	5	0.018026702
17	2	6	0.017955398
18	2	7	0.015755402
19	2	8	0.015027702
20	2	9	0.015099399
21	2	10	0.0206847
22	2	11	0.0290165
23	3	1	0.0219942
24	3	2	0.020188302
25	3	3	0.019329302
26	3	4	0.018528001
27	3	5	0.0186712
28	3	6	0.015626904
29	3	7	0.014945898
30	3	8	0.014446598
31	3	9	0.0152814
32	3	10	0.017048299
33	3	11	0.027394297
34	4	1	0.022417599
35	4	2	0.021552199
36	4	3	0.021058498
37	4	4	0.0184277
38	4	5	0.017876999
39	4	6	0.0165099
40	4	7	0.0153664
41	4	8	0.0149265
42	4	9	0.0155574
43	4	10	0.019173298
44	4	11	0.030859999
