Point	Row	Column	110_s_Area
1	1	1	0.046641596
2	1	2	0.0445012
3	1	3	0.041334204
4	1	4	0.038074005
5	1	5	0.037731998
6	1	6	0.036349799
7	1	7	0.035703599
8	1	8	0.035057198
9	1	9	0.034240998
10	1	10	0.0456638
11	1	11	0.078284398
12	2	1	0.042961795
13	2	2	0.044128995
14	2	3	0.041449394
15	2	4	0.037143603
16	2	5	0.036053404
17	2	6	0.035910796
18	2	7	0.031510804
19	2	8	0.030055404
20	2	9	0.030198798
21	2	10	0.041369401
22	2	11	0.058033001
23	3	1	0.043988399
24	3	2	0.040376604
25	3	3	0.038658604
26	3	4	0.037056003
27	3	5	0.037342399
28	3	6	0.031253807
29	3	7	0.029891796
30	3	8	0.028893197
31	3	9	0.030562799
32	3	10	0.034096599
33	3	11	0.054788593
34	4	1	0.044835199
35	4	2	0.043104399
36	4	3	0.042116996
37	4	4	0.0368554
38	4	5	0.035753999
39	4	6	0.0330198
40	4	7	0.030732799
41	4	8	0.029852999
42	4	9	0.0311148
43	4	10	0.038346596
44	4	11	0.061719999
