Point	Row	Column	Co_at
1	1	1	0.0065455996
2	1	2	0.0080153001
3	1	3	0.0079588005
4	1	4	0.0095927007
5	1	5	0.0092765987
6	1	6	0.0094018001
7	1	7	0.0146986
8	1	8	0.0149636
9	1	9	0.0121313
10	1	10	0.0141703
11	1	11	0.0147314
12	2	1	0.0077025993
13	2	2	0.0065948991
14	2	3	0.0081997989
15	2	4	0.0086898012
16	2	5	0.0088311005
17	2	6	0.0098042991
18	2	7	0.010846801
19	2	8	0.011980602
20	2	9	0.011850298
21	2	10	0.0129537
22	2	11	0.0142043
23	3	1	0.0067687999
24	3	2	0.0080191009
25	3	3	0.0075518009
26	3	4	0.0093448013
27	3	5	0.0105503
28	3	6	0.011156802
29	3	7	0.011276199
30	3	8	0.010985998
31	3	9	0.0131381
32	3	10	0.0124975
33	3	11	0.014623499
34	4	1	0.0092228996
35	4	2	0.0095063997
36	4	3	0.010831599
37	4	4	0.0120014
38	4	5	0.0113369
39	4	6	0.0110371
40	4	7	0.0110981
41	4	8	0.012861
42	4	9	0.0131509
43	4	10	0.013526099
44	4	11	0.0136574
