Point	Row	Column	Norm_Int110
1	1	1	2.3841255
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	2.7301261
7	1	7	7.9295793
8	1	8	12.739976
9	1	9	15.968432
10	1	10	15.060679
11	1	11	14.329187
12	2	1	2.4067266
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	7.2918491
20	2	9	14.866785
21	2	10	16.723427
22	2	11	16.355852
23	3	1	3.2527368
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	2.5033064
30	3	8	6.4791365
31	3	9	8.8862324
32	3	10	12.943715
33	3	11	12.666735
34	4	1	5.7171779
35	4	2	4.2990074
36	4	3	3.9627383
37	4	4	5.2553883
38	4	5	6.783906
39	4	6	8.017808
40	4	7	10.12318
41	4	8	10.816162
42	4	9	8.4772129
43	4	10	8.9234571
44	4	11	8.4601688
