Point	Row	Column	Ratio_200_110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	0.48324737
8	1	8	0.26759169
9	1	9	
10	1	10	
11	1	11	
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	0.43463641
20	2	9	0.21103761
21	2	10	0.12151989
22	2	11	0.14323787
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	0.71488553
30	3	8	0.44932345
31	3	9	0.38775185
32	3	10	0.27346811
33	3	11	0.27179649
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	0.47366562
39	4	6	0.43052253
40	4	7	0.28317249
41	4	8	0.26780912
42	4	9	0.3427242
43	4	10	0.3532432
44	4	11	0.41499361
