Point	Row	Column	Pos_110
1	1	1	30.552736
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	30.496965
7	1	7	30.480354
8	1	8	30.48382
9	1	9	30.472055
10	1	10	30.427835
11	1	11	30.38961
12	2	1	30.618992
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	30.464815
20	2	9	30.473591
21	2	10	30.454884
22	2	11	30.434101
23	3	1	30.630234
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	30.461092
30	3	8	30.467621
31	3	9	30.436693
32	3	10	30.431765
33	3	11	30.406366
34	4	1	30.60964
35	4	2	30.562757
36	4	3	30.545578
37	4	4	30.538303
38	4	5	30.534599
39	4	6	30.50952
40	4	7	30.493839
41	4	8	30.48068
42	4	9	30.427759
43	4	10	30.40189
44	4	11	30.375826
