Point	Row	Column	_s_Position
1	1	1	0.01265615
2	1	2	0.0079618478
3	1	3	0.014165182
4	1	4	0.019866014
5	1	5	0.01666409
6	1	6	0.019597882
7	1	7	0.021216357
8	1	8	0.025244907
9	1	9	0.02786508
10	1	10	0.026134863
11	1	11	0.024589697
12	2	1	0.0085067656
13	2	2	0.0095773824
14	2	3	0.010488448
15	2	4	0.017887313
16	2	5	0.012805872
17	2	6	0.020557024
18	2	7	0.018651541
19	2	8	0.021480191
20	2	9	0.025050372
21	2	10	0.025856985
22	2	11	0.029901654
23	3	1	0.013504004
24	3	2	0.014148307
25	3	3	0.014629128
26	3	4	0.019224808
27	3	5	0.018536955
28	3	6	0.021335375
29	3	7	0.025376303
30	3	8	0.022229545
31	3	9	0.027989814
32	3	10	0.028677119
33	3	11	0.026531138
34	4	1	0.011693447
35	4	2	0.012709217
36	4	3	0.018307049
37	4	4	0.021847462
38	4	5	0.014550197
39	4	6	0.027426256
40	4	7	0.020863088
41	4	8	0.027710464
42	4	9	0.026924999
43	4	10	0.029422486
44	4	11	0.021708034
