Point	Row	Column	PeakArea_110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	4.7468071
8	1	8	7.6594148
9	1	9	8.8238192
10	1	10	9.5476332
11	1	11	9.3026495
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	4.395391
20	2	9	8.4366083
21	2	10	9.4674845
22	2	11	9.2135172
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	2.476455
30	3	8	4.4650221
31	3	9	5.5228176
32	3	10	7.5496964
33	3	11	7.1475821
34	4	1	3.5133929
35	4	2	3.441762
36	4	3	2.6976724
37	4	4	3.8024321
38	4	5	5.2013068
39	4	6	5.3266659
40	4	7	6.2409964
41	4	8	6.2591462
42	4	9	5.1594863
43	4	10	3.5048354
44	4	11	5.4448633
