Point	Row	Column	_s_Area
1	1	1	0.26868552
2	1	2	0.2578091
3	1	3	0.25939614
4	1	4	0.2451641
5	1	5	0.24292824
6	1	6	0.22973378
7	1	7	0.22554016
8	1	8	0.22138277
9	1	9	0.20983119
10	1	10	0.20931493
11	1	11	0.22587825
12	2	1	0.25952953
13	2	2	0.25343281
14	2	3	0.24651949
15	2	4	0.24137697
16	2	5	0.23242089
17	2	6	0.22710022
18	2	7	0.2171752
19	2	8	0.20630302
20	2	9	0.20390189
21	2	10	0.19436295
22	2	11	0.21305288
23	3	1	0.26733759
24	3	2	0.26133925
25	3	3	0.24500564
26	3	4	0.23981106
27	3	5	0.22976878
28	3	6	0.22132833
29	3	7	0.21068284
30	3	8	0.20304522
31	3	9	0.19582972
32	3	10	0.19499139
33	3	11	0.20207739
34	4	1	0.26125786
35	4	2	0.25663772
36	4	3	0.25534427
37	4	4	0.24444328
38	4	5	0.22863699
39	4	6	0.22775447
40	4	7	0.21013561
41	4	8	0.20555697
42	4	9	0.19951841
43	4	10	0.20393938
44	4	11	0.20925429
