Point	Row	Column	_s_FWHM
1	1	1	0.19364607
2	1	2	0.14425373
3	1	3	0.14759409
4	1	4	0.21496196
5	1	5	0.16386773
6	1	6	0.14668822
7	1	7	0.14945978
8	1	8	0.11378086
9	1	9	0.1563164
10	1	10	0.15826653
11	1	11	0.19107208
12	2	1	0.16147903
13	2	2	0.14891639
14	2	3	0.12436597
15	2	4	0.1420427
16	2	5	0.16285501
17	2	6	0.13689251
18	2	7	0.15167037
19	2	8	0.15302396
20	2	9	0.17231061
21	2	10	0.14669786
22	2	11	0.20426071
23	3	1	0.16614521
24	3	2	0.14452514
25	3	3	0.15406914
26	3	4	0.14874727
27	3	5	0.13315952
28	3	6	0.14256229
29	3	7	0.15776059
30	3	8	0.16077167
31	3	9	0.15133952
32	3	10	0.15271759
33	3	11	0.11955668
34	4	1	0.15819752
35	4	2	0.14645405
36	4	3	0.1699281
37	4	4	0.15246236
38	4	5	0.15792674
39	4	6	0.13625868
40	4	7	0.15310462
41	4	8	0.14720473
42	4	9	0.16359799
43	4	10	0.15279128
44	4	11	0.17524023
