FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.98349Co0.80795Fe0.0Y0.0Zr0.19205O3,01122,1,1,1,0.019379999,5.4000001,44.14201,0.8900026733139156,2.1500064580055263,1.490004475548016,137.32741249233717,1.7743725,1.3884100000000001,0.7859379166666667,65.13464410025,0.9834870458768477,0.501587278496435,1.5485385858683862,1.8958297391573222,2.1083620612246516,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.97975Co0.85721Fe0.0Y0.0Zr0.14279O3,01122,2,1,2,0.020719999,9.397999800000001,44.14201,0.8900001171137383,2.1500002829152103,1.49000019606682,137.3270180706498,1.8014655,1.378558,0.7814224166666668,63.54399904595,0.9797498710762136,0.4940422767539752,1.5596008894186608,1.906779437455546,2.161132760488457,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.95484Co0.85574Fe0.0Y0.0Zr0.14426O3,01122,3,1,3,0.021759999999999998,13.39599,44.14201,0.8899971132329474,2.1499930263492546,1.4899951670978557,137.3265545718438,1.8006569999999997,1.378852,0.7815571666666667,63.59146652929999,0.9548430970894305,0.4942624348962337,1.5592630872270952,1.9064442508443364,2.1595123067113113,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.90213Co0.79556Fe0.0Y0.0Zr0.20444O3,01122,4,1,4,0.02351,17.393998999999997,44.14201,0.8900048812927559,2.1500117918869948,1.4900081720519172,137.32775318347223,1.767558,1.3908880000000003,0.7870736666666668,65.5347271742,0.9021250522061997,0.5035223066472251,1.5457835511464577,1.8930987468584053,2.095495916515176,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.95619Co0.83972Fe0.0Y0.0Zr0.16028O3,01122,5,1,5,0.024460001000000002,21.391991,44.14201,0.8900007318192871,2.1500017678780527,1.4900012251806043,137.327112919716,1.7918459999999998,1.3820560000000002,0.7830256666666667,64.1087652254,0.9561892137553833,0.49669487881173224,1.5556545956734404,1.9028766087879676,2.1420957405260825,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.96001Co0.85625Fe0.0Y0.0Zr0.14375O3,01122,6,1,6,0.02462,25.389999,44.14201,0.8900036413960107,2.1500087966308126,1.490006096269726,137.32756186740446,1.8009374999999999,1.3787500000000001,0.7815104166666667,63.57499821875,0.9600060721772119,0.49418907729780226,1.5593898796959655,1.906572279132205,2.1600875456556885,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.9492Co0.85434Fe0.0Y0.0Zr0.14566O3,01122,7,1,7,0.02366,29.38802,44.14201,0.8899979442311379,2.149995033816794,1.4899965583195456,137.32668279486458,1.7998869999999998,1.379132,0.7816855000000001,63.636673656300005,0.9492021925172036,0.4944743443511387,1.5589479714898893,1.9061330398472855,2.1579802165110387,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba1.0Co0.87769Fe0.0Y0.0Zr0.11327O3,01122,8,1,8,0.023,33.386009,44.14201,0.89,2.15,1.49,137.327,1.8171482768669773,1.3728720631808082,0.7788176047118937,62.6246607792295,1.00913084874917,0.489778413423965,1.5660599830538204,1.9131565478045307,2.1928581854378164,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.95896Co0.84689Fe0.0Y0.0Zr0.15311O3,01122,9,1,9,0.022740001,37.384009999999996,44.14201,0.8900016173441745,2.1500039070673878,1.4900027076885618,137.3272495562061,1.7957895000000001,1.3806220000000002,0.7823684166666668,63.877240153550005,0.9589582573420775,0.4956046448340267,1.5572719448678838,1.9044770672579274,2.149861973154989,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.95405Co0.84537Fe0.0Y0.0Zr0.15463O3,01122,10,1,10,0.020710001000000002,41.381989000000004,44.14201,0.8900033960395032,2.1500082039156534,1.4900056855043367,137.32752400889532,1.7949534999999999,1.380926,0.78250775,63.92632217715,0.954046359574017,0.49583646375212687,1.556932235265071,1.9041417615408112,2.1482156227968026,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.92231Co0.81635Fe0.0Y0.0Zr0.18365O3,01122,11,1,11,0.01994,45.37999,44.14201,0.890000817520726,2.150001974909619,1.4900013686582942,137.32712614344803,1.7789925,1.38673,0.7851679166666667,64.86340133825,0.922309152801294,0.500283625434467,1.5504113813861522,1.8976849881792301,2.11717429721753,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.98453Co0.83977Fe0.0Y0.0Zr0.16023O3,01122,12,2,1,0.025420001,5.4000001,31.643998999999997,0.8899973465403,2.1499935899569045,1.4899955576910642,137.32659057116828,1.7918735,1.382046,0.7830210833333334,64.10715068515,0.9845329353016484,0.496685366762944,1.5556599345874915,1.9028805091021674,2.1421415412084297,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.9493Co0.85486Fe0.0Y0.0Zr0.14514O3,01122,13,2,2,0.027589999,9.397999800000001,31.643998999999997,0.8899987483749606,2.1499969764114217,1.4899979045827991,137.32680687425642,1.800173,1.379028,0.7816378333333334,63.6198824377,0.9493013350217089,0.4943962321260016,1.5590669489027211,1.9062510040342202,2.158551723334827,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.97385Co0.87726Fe0.0Y0.0Zr0.12274O3,01122,14,2,3,0.030169999,13.39599,31.643998999999997,0.8900036487885888,2.1500088144892873,1.4900061086460643,137.32756300807924,1.8124930000000001,1.374548,0.7795845000000001,62.896568405699995,0.9738460074626974,0.49103839230749513,1.564156955224035,1.9112823672688004,2.183387209971124,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.9683Co0.86021Fe0.0Y0.0Zr0.13979O3,01122,15,2,4,0.032099999,17.393998999999997,31.643998999999997,0.8900032181802864,2.150007774255748,1.4900053877400299,137.32749656521818,1.8031155,1.377958,0.7811474166666668,63.447126630949995,0.9682964987048276,0.49359190699668787,1.5602854181736656,1.9074573581747487,2.1644399653274253,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
Ba0.94661Co0.84149Fe0.0Y0.0Zr0.15851O3,01122,16,2,5,0.03393,21.391991,31.643998999999997,0.8899964119315362,2.1499913321941606,1.4899939930089763,137.32644636103603,1.7928194999999998,1.381702,0.7828634166666668,64.05161050055,0.9466138163091928,0.49642276421666337,1.5560456105543456,1.9032617456480236,2.1439967752232683,25_May_2016,Pulsed Laser Deposition,BZC19,600.0,18.7,800,N,27.0,,50.0,SiO2,100,0,0,0,0,0,0,100.0,0,0,180,0,0,0,0
