Point	Row	Column	110_s_Position
1	1	1	0.81467915
2	1	2	0.8659749
3	1	3	0.87550592
4	1	4	0.83649361
5	1	5	0.85852826
6	1	6	0.87371677
7	1	7	0.87660104
8	1	8	0.88167447
9	1	9	0.86463439
10	1	10	0.86525065
11	1	11	0.8493433
12	2	1	0.84631479
13	2	2	0.87709224
14	2	3	0.88888431
15	2	4	0.87406439
16	2	5	0.86457014
17	2	6	0.86968291
18	2	7	0.86689562
19	2	8	0.86030829
20	2	9	0.85964316
21	2	10	0.86722213
22	2	11	0.85453373
23	3	1	0.85180765
24	3	2	0.8763178
25	3	3	0.86481214
26	3	4	0.87726784
27	3	5	0.8790434
28	3	6	0.8720296
29	3	7	0.86345464
30	3	8	0.86291867
31	3	9	0.87021929
32	3	10	0.8715176
33	3	11	0.88925838
34	4	1	0.85009015
35	4	2	0.87796146
36	4	3	0.86554378
37	4	4	0.8700496
38	4	5	0.87896508
39	4	6	0.88071579
40	4	7	0.87099326
41	4	8	0.86624926
42	4	9	0.8682127
43	4	10	0.86980975
44	4	11	0.86803818
