Point	Row	Column	Norm_d
1	1	1	0
2	1	2	0.063267231
3	1	3	0.11237016
4	1	4	0.19499528
5	1	5	0.23984891
6	1	6	0.2474032
7	1	7	0.20207743
8	1	8	0.17091596
9	1	9	0.15864022
10	1	10	0.062795088
11	1	11	0.026440037
12	2	1	0.2851747
13	2	2	0.38762984
14	2	3	0.50944287
15	2	4	0.60056657
16	2	5	0.68696886
17	2	6	0.69074601
18	2	7	0.69169027
19	2	8	0.62795091
20	2	9	0.52455145
21	2	10	0.404627
22	2	11	0.3201133
23	3	1	0.48347497
24	3	2	0.6331445
25	3	3	0.79320115
26	3	4	0.91501415
27	3	5	0.99244571
28	3	6	1
29	3	7	0.97072709
30	3	8	0.88668555
31	3	9	0.75590181
32	3	10	0.59301227
33	3	11	0.42256847
34	4	1	0.4674221
35	4	2	0.58734655
36	4	3	0.7573182
37	4	4	0.85835695
38	4	5	0.93295562
39	4	6	0.95231348
40	4	7	0.90982056
41	4	8	0.82577902
42	4	9	0.70160526
43	4	10	0.54343718
44	4	11	0.411237
