Point	Row	Column	Ratio_200_110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	11121.01
12	2	1	
13	2	2	
14	2	3	0.10892577
15	2	4	
16	2	5	
17	2	6	0.50533193
18	2	7	1.7509048
19	2	8	0.71171278
20	2	9	1.4314623
21	2	10	
22	2	11	
23	3	1	
24	3	2	0.24488263
25	3	3	
26	3	4	0.57257336
27	3	5	
28	3	6	
29	3	7	
30	3	8	0.5504356
31	3	9	0.97183132
32	3	10	1.2257084
33	3	11	
34	4	1	
35	4	2	0.69296885
36	4	3	
37	4	4	
38	4	5	
39	4	6	0.49147367
40	4	7	
41	4	8	
42	4	9	0.66815466
43	4	10	
44	4	11	1.1458133
