Point	x_mm	y_mm	Ba_at	Zr_at	Y_at	Co_at	Fe_at	ASR	Temp_C
1	0	0	0.41178876	0.17393184	0	0.4142794	0	924727.81	351
2	-4	0	0.40796241	0.18132977	0	0.41070783	0	851685.75	351
3	-8	0	0.40636292	0.19236942	0	0.40126768	0	616631.81	351
4	-12	0	0.40397671	0.19896694	0	0.39705637	0	583707.94	351
5	-16	0	0.40958813	0.21155453	0	0.37885734	0	469385.34	351
6	-20	0	0.39953613	0.24141738	0	0.35904649	0	476830.94	351
7	-24	0	0.40767646	0.24932306	0	0.34300047	0	401526.97	351
8	-28	0	0.40280914	0.27553168	0	0.32165918	0	423800.84	351
9	-32	0	0.4193396	0.28608844	0	0.29457194	0	501743.75	351
10	-36	0	0.42371625	0.29885918	0	0.27742457	0	573780.5	351
11	-40	0	0.43337995	0.31295756	0	0.2536625	0	571675.62	351
12	0	3.75	0.41834474	0.17877054	0	0.40288472	0	642832.69	351
13	-4	3.75	0.41405311	0.18818298	0	0.39776388	0	494141.09	351
14	-8	3.75	0.4110418	0.19958839	0	0.38936982	0	389117.66	351
15	-12	3.75	0.40870354	0.20786649	0	0.38342997	0	387955.28	351
16	-16	3.75	0.409989	0.2219649	0	0.3680461	0	534636.25	351
17	-20	3.75	0.40284967	0.24717407	0	0.34997627	0	499324.75	351
18	-24	3.75	0.40740606	0.25549969	0	0.33709425	0	416480.94	351
19	-28	3.75	0.4025704	0.27892488	0	0.31850472	0	346392	351
20	-32	3.75	0.41551501	0.28874508	0	0.29573992	0	385253.5	351
21	-36	3.75	0.41722351	0.30371475	0	0.27906173	0	477522.09	351
22	-40	3.75	0.42355627	0.31870398	0	0.25773975	0	433445.53	351
23	0	7.5	0.42490071	0.18360923	0	0.39149007	0	497565.44	351
24	-4	7.5	0.42014384	0.1950362	0	0.38481995	0	334925.19	351
25	-8	7.5	0.4157207	0.20680737	0	0.37747195	0	315949.97	351
26	-12	7.5	0.41343036	0.21676604	0	0.36980358	0	324526.53	351
27	-16	7.5	0.41038987	0.23237528	0	0.35723484	0	310829.19	351
28	-20	7.5	0.40616319	0.25293076	0	0.34090605	0	282793.59	351
29	-24	7.5	0.40713567	0.26167631	0	0.33118805	0	292114.72	351
30	-28	7.5	0.40233162	0.28231809	0	0.31535029	0	302535.38	351
31	-32	7.5	0.41169041	0.29140171	0	0.29690787	0	343658.81	351
32	-36	7.5	0.41073078	0.30857033	0	0.2806989	0	367503.5	351
33	-40	7.5	0.41373259	0.32445043	0	0.26181701	0	364110.59	351
34	0	11.5	0.43189374	0.1887705	0	0.37933576	0	358235.81	351
35	-4	11.5	0.42664063	0.2023463	0	0.37101308	0	260092.45	351
36	-8	11.5	0.42071149	0.21450761	0	0.3647809	0	252728.56	351
37	-12	11.5	0.41847235	0.22625889	0	0.35526878	0	255672.23	351
38	-16	11.5	0.41081747	0.24347967	0	0.34570286	0	240473.2	351
39	-20	11.5	0.40969762	0.25907123	0	0.33123115	0	160959.5	351
40	-24	11.5	0.40684721	0.26826471	0	0.32488808	0	201578.72	351
41	-28	11.5	0.40207693	0.28593752	0	0.31198555	0	191197.33	351
42	-32	11.5	0.40761083	0.29423544	0	0.29815373	0	305896.88	351
43	-36	11.5	0.4038052	0.31374964	0	0.28244519	0	324400.84	351
44	-40	11.5	0.403254	0.33057994	0	0.26616606	0	309038.47	351
45	0	15.25	0.43748507	0.19280647	0	0.36970845	0	352675.19	351
46	-4	15.25	0.43176505	0.20821226	0	0.36002269	0	270711.03	351
47	-8	15.25	0.42490435	0.2208793	0	0.35421637	0	232685.2	351
48	-12	15.25	0.42255425	0.2343708	0	0.34307495	0	220338.75	351
49	-16	15.25	0.41159639	0.25275925	0	0.33564436	0	178923.12	351
50	-20	15.25	0.4128226	0.26457292	0	0.32260448	0	165521.72	351
51	-24	15.25	0.40672663	0.27464524	0	0.31862816	0	184780	351
52	-28	15.25	0.40224862	0.28976655	0	0.30798483	0	222355.64	351
53	-32	15.25	0.40419427	0.29773298	0	0.29807279	0	285225.19	351
54	-36	15.25	0.39847037	0.3185553	0	0.28297433	0	292702.19	351
55	-40	15.25	0.39513308	0.33587945	0	0.26898751	0	315510.16	351
56	0	19	0.43680638	0.19162464	0	0.37156898	0	150545.12	351
57	-4	19	0.43060842	0.20766112	0	0.36173046	0	237755.73	351
58	-8	19	0.42593783	0.22174375	0	0.35231844	0	206599.61	351
59	-12	19	0.42244413	0.23736304	0	0.34019279	0	208770.52	351
60	-16	19	0.41483265	0.25468847	0	0.33047888	0	195837.47	351
61	-20	19	0.41472197	0.26841709	0	0.31686094	0	154035.42	351
62	-24	19	0.40757978	0.28235114	0	0.31006908	0	164370.95	351
63	-28	19	0.40508831	0.29642853	0	0.29848316	0	202262.02	351
64	-32	19	0.40342984	0.30669633	0	0.28987384	0	225974.77	351
65	-36	19	0.40066186	0.32303658	0	0.27630156	0	304828.75	351
66	-40	19	0.39808011	0.33827385	0	0.26364601	0	343972.97	351
67	0	23	0.43608242	0.19036402	0	0.37355354	0	302409.72	351
68	-4	23	0.42937469	0.20707323	0	0.36355209	0	234582.72	351
69	-8	23	0.42704019	0.2226658	0	0.35029399	0	202978.3	351
70	-12	23	0.42232671	0.24055476	0	0.33711854	0	228283.83	351
71	-16	23	0.41828465	0.25674632	0	0.32496902	0	169108.8	351
72	-20	23	0.41674796	0.27251753	0	0.31073451	0	142255.91	351
73	-24	23	0.40848979	0.29057077	0	0.30093944	0	173280.83	351
74	-28	23	0.40811732	0.30353463	0	0.28834805	0	504414.12	351
75	-32	23	0.40261444	0.31625724	0	0.28112832	0	279570.34	351
76	-36	23	0.40299943	0.32781661	0	0.26918393	0	304451.75	351
77	-40	23	0.40122363	0.34082794	0	0.25794843	0	344067.22	351
78	0	26.75	0.43540373	0.18918219	0	0.37541407	0	332537.59	351
79	-4	26.75	0.42821807	0.20652208	0	0.36525986	0	252081.39	351
80	-8	26.75	0.42807367	0.22353023	0	0.34839606	0	218500.91	351
81	-12	26.75	0.42221662	0.24354701	0	0.33423638	0	207169.34	351
82	-16	26.75	0.42152092	0.25867555	0	0.31980354	0	191807.7	351
83	-20	26.75	0.41864732	0.2763617	0	0.30499098	0	155354.89	351
84	-24	26.75	0.40934297	0.29827666	0	0.29238036	0	171782.28	351
85	-28	26.75	0.41095701	0.31019658	0	0.27884641	0	191272.73	351
86	-32	26.75	0.40185001	0.32522058	0	0.2729294	0	276083.16	351
87	-36	26.75	0.40519094	0.33229789	0	0.26251116	0	351764.12	351
88	-40	26.75	0.40417066	0.34322235	0	0.25260696	0	414627.41	351
89	0	30.5	0.44181862	0.18288067	0	0.37530071	0	317803.5	351
90	-4	30.5	0.4346846	0.19741251	0	0.36790287	0	261349.09	351
91	-8	30.5	0.43348163	0.21496762	0	0.35155073	0	292890.69	351
92	-12	30.5	0.42867824	0.23350672	0	0.33781505	0	274911.34	351
93	-16	30.5	0.42725337	0.24974683	0	0.32299981	0	288995.09	351
94	-20	30.5	0.42318389	0.26808727	0	0.30872884	0	13047317	351
95	-24	30.5	0.41360191	0.29018572	0	0.29621238	0	211766.38	351
96	-28	30.5	0.41322488	0.30497986	0	0.28179526	0	247494.67	351
97	-32	30.5	0.40561756	0.31996426	0	0.27441821	0	288461.03	351
98	-36	30.5	0.40717438	0.32959625	0	0.26322937	0	348245.53	351
99	-40	30.5	0.40626332	0.34062752	0	0.25310913	0	472149.97	351
100	0	34.5	0.44982529	0.17531887	0	0.37485585	0	352800.84	351
101	-4	34.5	0.44283324	0.18629117	0	0.37087557	0	433037.12	351
102	-8	34.5	0.43996799	0.20428717	0	0.35574484	0	433162.78	351
103	-12	34.5	0.43664908	0.22065841	0	0.34269249	0	405956.59	351
104	-16	34.5	0.4337776	0.23844104	0	0.32778135	0	417674.75	351
105	-20	34.5	0.42845565	0.25727251	0	0.31427184	0	430335.38	351
106	-24	34.5	0.41870368	0.27896309	0	0.30233324	0	407558.81	351
107	-28	34.5	0.41555005	0.29746607	0	0.28698388	0	407024.75	351
108	-32	34.5	0.41037995	0.31202403	0	0.277596	0	449499.06	351
109	-36	34.5	0.40925589	0.32553577	0	0.26520833	0	527944.62	351
110	-40	34.5	0.4083553	0.33704096	0	0.25460374	0	761679.12	351
111	0	38.25	0.45733154	0.1682297	0	0.37443876	0	436398.62	351
112	-4	38.25	0.45047256	0.17586493	0	0.3736625	0	441048.19	351
113	-8	38.25	0.44604895	0.19427425	0	0.35967681	0	516634.91	351
114	-12	38.25	0.44412175	0.20861313	0	0.34726512	0	593635.38	351
115	-16	38.25	0.43989408	0.22784185	0	0.33226407	0	517137.56	351
116	-20	38.25	0.43339795	0.24713367	0	0.31946838	0	593478.25	351
117	-24	38.25	0.42348656	0.26844189	0	0.30807155	0	679243.75	351
118	-28	38.25	0.41772994	0.29042187	0	0.29184818	0	623354.81	351
119	-32	38.25	0.41484472	0.30458009	0	0.28057519	0	696522.5	351
120	-36	38.25	0.41120735	0.32172906	0	0.26706362	0	913889.31	351
121	-40	38.25	0.4103165	0.33367857	0	0.25600493	0	994314.06	351
122	0	42	0.46483776	0.16114052	0	0.37402171	0	503377.41	351
123	-4	42	0.45811191	0.16543868	0	0.37644941	0	511922.53	351
124	-8	42	0.4521299	0.18426131	0	0.36360878	0	588734.44	351
125	-12	42	0.45159441	0.19656783	0	0.35183775	0	797022.06	351
126	-16	42	0.44601053	0.21724269	0	0.33674678	0	639565.44	351
127	-20	42	0.43834022	0.23699483	0	0.32466492	0	755867.19	351
128	-24	42	0.42826948	0.25792065	0	0.31380987	0	863309.69	351
129	-28	42	0.41990981	0.28337768	0	0.29671252	0	949075.12	351
130	-32	42	0.41930947	0.29713613	0	0.2835544	0	1066256.5	351
131	-36	42	0.41315877	0.31792235	0	0.26891887	0	964154.81	351
132	-40	42	0.4122777	0.33031616	0	0.25740615	0	1496340.6	351
