Point	Row	Column	a_Ang
1	1	1	4.090466
2	1	2	4.0896187
3	1	3	4.0909319
4	1	4	4.0919008
5	1	5	4.0933704
6	1	6	4.0946879
7	1	7	4.0958219
8	1	8	4.0968184
9	1	9	4.0974035
10	1	10	4.0989485
11	1	11	4.1012597
12	2	1	4.0903139
13	2	2	4.0926023
14	2	3	4.0958729
15	2	4	4.0974808
16	2	5	4.0996108
17	2	6	4.1016946
18	2	7	4.1021008
19	2	8	4.102726
20	2	9	4.1039853
21	2	10	4.1035805
22	2	11	4.1043835
23	3	1	4.0947018
24	3	2	4.0978179
25	3	3	4.1019106
26	3	4	4.1044135
27	3	5	4.1077237
28	3	6	4.1094122
29	3	7	4.1111875
30	3	8	4.1123109
31	3	9	4.1123605
32	3	10	4.1126399
33	3	11	4.1131258
34	4	1	4.1000862
35	4	2	4.102499
36	4	3	4.1071706
37	4	4	4.109767
38	4	5	4.1143799
39	4	6	4.116538
40	4	7	4.1181226
41	4	8	4.1193752
42	4	9	4.1203661
43	4	10	4.1204963
44	4	11	4.1213598
