Point	Row	Column	FWHM_200
1	1	1	0.79622036
2	1	2	0.72635621
3	1	3	0.77342796
4	1	4	0.73612195
5	1	5	0.65698862
6	1	6	0.66387653
7	1	7	0.6460709
8	1	8	0.7153914
9	1	9	0.71931016
10	1	10	0.76853168
11	1	11	0.76175618
12	2	1	0.77123231
13	2	2	0.81956112
14	2	3	0.78411448
15	2	4	0.6579898
16	2	5	0.68330824
17	2	6	0.77765036
18	2	7	0.65349919
19	2	8	0.76823497
20	2	9	0.72013676
21	2	10	0.70815367
22	2	11	0.66807896
23	3	1	0.8105157
24	3	2	0.80560958
25	3	3	0.67767239
26	3	4	0.71883881
27	3	5	0.70726132
28	3	6	0.63040644
29	3	7	0.72827965
30	3	8	0.69481295
31	3	9	0.63952374
32	3	10	0.6887877
33	3	11	0.76934302
34	4	1	0.80026174
35	4	2	0.86552495
36	4	3	0.74882668
37	4	4	0.86819911
38	4	5	0.67524505
39	4	6	0.75675899
40	4	7	0.69453102
41	4	8	0.7365216
42	4	9	0.77328062
43	4	10	0.7102356
44	4	11	0.84891033
