Point	Row	Column	PeakArea_110
1	1	1	7.0137544
2	1	2	10.891975
3	1	3	11.208714
4	1	4	10.675102
5	1	5	10.994721
6	1	6	10.794169
7	1	7	10.471795
8	1	8	10.733722
9	1	9	10.162718
10	1	10	8.9946451
11	1	11	9.0878391
12	2	1	10.839531
13	2	2	11.191507
14	2	3	11.80334
15	2	4	12.134225
16	2	5	12.308775
17	2	6	12.315304
18	2	7	12.356173
19	2	8	12.103889
20	2	9	12.371429
21	2	10	12.080274
22	2	11	10.967523
23	3	1	10.804582
24	3	2	10.97676
25	3	3	11.073365
26	3	4	11.61919
27	3	5	10.853284
28	3	6	10.769638
29	3	7	11.109495
30	3	8	10.615245
31	3	9	10.983901
32	3	10	10.332581
33	3	11	9.4605093
34	4	1	10.496583
35	4	2	10.452155
36	4	3	10.326093
37	4	4	10.524537
38	4	5	10.008405
39	4	6	10.029015
40	4	7	9.8161011
41	4	8	9.8014107
42	4	9	9.3900652
43	4	10	9.5431423
44	4	11	9.2175512
