Point	Row	Column	Co_at
1	1	1	0.19958887
2	1	2	0.21053438
3	1	3	0.21669821
4	1	4	0.22789325
5	1	5	0.23496731
6	1	6	0.24738818
7	1	7	0.25640655
8	1	8	0.26523
9	1	9	0.27293593
10	1	10	0.27803126
11	1	11	0.28300783
12	2	1	0.19603433
13	2	2	0.20529573
14	2	3	0.21614873
15	2	4	0.22776631
16	2	5	0.23908648
17	2	6	0.24968596
18	2	7	0.2611936
19	2	8	0.27080545
20	2	9	0.28133669
21	2	10	0.28926352
22	2	11	0.28996226
23	3	1	0.19842204
24	3	2	0.2097412
25	3	3	0.21859865
26	3	4	0.22875175
27	3	5	0.24143806
28	3	6	0.25135818
29	3	7	0.26247767
30	3	8	0.2726227
31	3	9	0.28113386
32	3	10	0.29180241
33	3	11	0.29307964
34	4	1	0.20160832
35	4	2	0.21178156
36	4	3	0.22032171
37	4	4	0.23253861
38	4	5	0.23976405
39	4	6	0.25014347
40	4	7	0.2600477
41	4	8	0.26879945
42	4	9	0.2777122
43	4	10	0.28380778
44	4	11	0.28828824
