Point	Row	Column	Norm_d
1	1	1	0.17475875
2	1	2	0.27970445
3	1	3	0.38042822
4	1	4	0.43184561
5	1	5	0.48823884
6	1	6	0.49984923
7	1	7	0.47602534
8	1	8	0.42294934
9	1	9	0.36384198
10	1	10	0.26251507
11	1	11	0.1533474
12	2	1	0.50105548
13	2	2	0.65078408
14	2	3	0.79267192
15	2	4	0.90003014
16	2	5	0.96637517
17	2	6	1
18	2	7	0.98944509
19	2	8	0.93576598
20	2	9	0.82297951
21	2	10	0.70823282
22	2	11	0.587304
23	3	1	0.42430639
24	3	2	0.5812726
25	3	3	0.731152
26	3	4	0.84288299
27	3	5	0.92867911
28	3	6	0.98190594
29	3	7	0.99532568
30	3	8	0.95868516
31	3	9	0.87379372
32	3	10	0.75542825
33	3	11	0.63585645
34	4	1	0
35	4	2	0.10147768
36	4	3	0.21893848
37	4	4	0.29342583
38	4	5	0.38706273
39	4	6	0.41390228
40	4	7	0.44270205
41	4	8	0.42294934
42	4	9	0.38902292
43	4	10	0.32463813
44	4	11	0.2358263
