Point	Row	Column	a_Ang
1	1	1	4.07269
2	1	2	4.0818033
3	1	3	4.0876303
4	1	4	4.0757442
5	1	5	4.0760527
6	1	6	4.0775666
7	1	7	4.0779271
8	1	8	4.0804291
9	1	9	4.0814738
10	1	10	4.0833693
11	1	11	4.0865955
12	2	1	4.0928087
13	2	2	4.0905037
14	2	3	4.0919261
15	2	4	4.0913577
16	2	5	4.0921469
17	2	6	4.0944595
18	2	7	4.0927415
19	2	8	4.0916224
20	2	9	4.0928335
21	2	10	4.0908046
22	2	11	4.0873332
23	3	1	4.0793357
24	3	2	4.083302
25	3	3	4.0919857
26	3	4	4.0915065
27	3	5	4.0871806
28	3	6	4.0882654
29	3	7	4.0877652
30	3	8	4.0867066
31	3	9	4.0881381
32	3	10	4.0886054
33	3	11	4.0922227
34	4	1	4.0834851
35	4	2	4.0848184
36	4	3	4.0859122
37	4	4	4.0867848
38	4	5	4.0886879
39	4	6	4.0898504
40	4	7	4.0909133
41	4	8	4.0926566
42	4	9	4.0941281
43	4	10	4.0949926
44	4	11	4.0971217
