Point	Row	Column	MaxInt_110
1	1	1	1329.0613
2	1	2	2348.8875
3	1	3	2587.5969
4	1	4	2577.7896
5	1	5	2672.3706
6	1	6	2648.7817
7	1	7	2563.0942
8	1	8	2500.8965
9	1	9	2236.8291
10	1	10	1815.8744
11	1	11	1685.7119
12	2	1	2707.2019
13	2	2	3124.9932
14	2	3	3380.8997
15	2	4	3754.2202
16	2	5	3897.3137
17	2	6	3922.7661
18	2	7	4005.8337
19	2	8	3914.2993
20	2	9	3806.2148
21	2	10	3251.9453
22	2	11	2696.949
23	3	1	2793.8594
24	3	2	2829.9819
25	3	3	2899.1211
26	3	4	3061.3503
27	3	5	3236.28
28	3	6	3312.8882
29	3	7	3446.9265
30	3	8	3326.9421
31	3	9	3187.99
32	3	10	3024.071
33	3	11	2658.9658
34	4	1	2029.2806
35	4	2	2207.5405
36	4	3	2378.8911
37	4	4	2426.335
38	4	5	2476.3479
39	4	6	2479.0837
40	4	7	2501.3994
41	4	8	2472.5562
42	4	9	2327.5544
43	4	10	2270.5215
44	4	11	2008.2551
