Point	Row	Column	FWHM_110
1	1	1	0.50913233
2	1	2	0.45440412
3	1	3	0.44516656
4	1	4	0.44680443
5	1	5	0.43234572
6	1	6	0.45322323
7	1	7	0.45376262
8	1	8	0.4524152
9	1	9	0.47287336
10	1	10	0.49768814
11	1	11	0.46465757
12	2	1	0.45053789
13	2	2	0.43048114
14	2	3	0.42021689
15	2	4	0.41028008
16	2	5	0.40998265
17	2	6	0.4184168
18	2	7	0.40368125
19	2	8	0.41072071
20	2	9	0.40048116
21	2	10	0.43416277
22	2	11	0.45525303
23	3	1	0.40918168
24	3	2	0.44320807
25	3	3	0.4782736
26	3	4	0.48709592
27	3	5	0.45781454
28	3	6	0.45573303
29	3	7	0.43625569
30	3	8	0.41693732
31	3	9	0.42460161
32	3	10	0.41672021
33	3	11	0.42375278
34	4	1	0.42015198
35	4	2	0.42119059
36	4	3	0.41054937
37	4	4	0.42687097
38	4	5	0.42236334
39	4	6	0.42575815
40	4	7	0.41068354
41	4	8	0.41366744
42	4	9	0.42706999
43	4	10	0.41783518
44	4	11	0.44282523
