Point	Row	Column	d_um
1	1	1	0.11229
2	1	2	0.11925
3	1	3	0.12593
4	1	4	0.12933999
5	1	5	0.13308001
6	1	6	0.13384999
7	1	7	0.13226999
8	1	8	0.12875
9	1	9	0.12483
10	1	10	0.11811
11	1	11	0.11087
12	2	1	0.13393
13	2	2	0.14386
14	2	3	0.15327001
15	2	4	0.16039
16	2	5	0.16479
17	2	6	0.16701999
18	2	7	0.16632
19	2	8	0.16276
20	2	9	0.15527999
21	2	10	0.14767
22	2	11	0.13965
23	3	1	0.12884
24	3	2	0.13925
25	3	3	0.14918999
26	3	4	0.1566
27	3	5	0.16229001
28	3	6	0.16582
29	3	7	0.16671
30	3	8	0.16428
31	3	9	0.15865
32	3	10	0.1508
33	3	11	0.14286999
34	4	1	0.1007
35	4	2	0.10743
36	4	3	0.11522
37	4	4	0.12016
38	4	5	0.12637
39	4	6	0.12815
40	4	7	0.13006
41	4	8	0.12875
42	4	9	0.1265
43	4	10	0.12223
44	4	11	0.11634
