Point	Row	Column	110_s_Area
1	1	1	0.48247382
2	1	2	0.47248492
3	1	3	0.44962466
4	1	4	0.436701
5	1	5	0.41810307
6	1	6	0.39832577
7	1	7	0.38602269
8	1	8	0.36123401
9	1	9	0.35135552
10	1	10	0.34920806
11	1	11	0.35679811
12	2	1	0.48588043
13	2	2	0.46913397
14	2	3	0.44579461
15	2	4	0.42862335
16	2	5	0.41025993
17	2	6	0.38594121
18	2	7	0.36940986
19	2	8	0.35119587
20	2	9	0.33915767
21	2	10	0.3234711
22	2	11	0.32705128
23	3	1	0.48185521
24	3	2	0.45947841
25	3	3	0.44617587
26	3	4	0.42233703
27	3	5	0.40534621
28	3	6	0.38290685
29	3	7	0.36439613
30	3	8	0.34240797
31	3	9	0.32614866
32	3	10	0.31714046
33	3	11	0.32155636
34	4	1	0.48997965
35	4	2	0.46984717
36	4	3	0.45276904
37	4	4	0.43544656
38	4	5	0.41278616
39	4	6	0.39627779
40	4	7	0.37441939
41	4	8	0.36081499
42	4	9	0.34268916
43	4	10	0.33152589
44	4	11	0.34056279
