Point	Row	Column	_s_Position
1	1	1	0.22638066
2	1	2	0.2356147
3	1	3	0.24540548
4	1	4	0.25534615
5	1	5	0.2645916
6	1	6	0.27699876
7	1	7	0.28526518
8	1	8	0.29744509
9	1	9	0.30419928
10	1	10	0.30712503
11	1	11	0.30667925
12	2	1	0.22328666
13	2	2	0.2333634
14	2	3	0.24615726
15	2	4	0.25760874
16	2	5	0.26911035
17	2	6	0.28203124
18	2	7	0.29288459
19	2	8	0.30331922
20	2	9	0.31196165
21	2	10	0.32069191
22	2	11	0.3197023
23	3	1	0.22581336
24	3	2	0.23862407
25	3	3	0.24745901
26	3	4	0.25999227
27	3	5	0.27182165
28	3	6	0.28382066
29	3	7	0.2951338
30	3	8	0.30712745
31	3	9	0.3164438
32	3	10	0.32395664
33	3	11	0.32287604
34	4	1	0.22571558
35	4	2	0.23704849
36	4	3	0.24660693
37	4	4	0.25822595
38	4	5	0.26869911
39	4	6	0.27900213
40	4	7	0.2907137
41	4	8	0.29919335
42	4	9	0.30921724
43	4	10	0.3156431
44	4	11	0.31433418
