Point	Row	Column	_s_FWHM
1	1	1	0.13532838
2	1	2	0.12288047
3	1	3	0.13425495
4	1	4	0.1224426
5	1	5	0.12877353
6	1	6	0.12122933
7	1	7	0.12179185
8	1	8	0.12677534
9	1	9	0.12792854
10	1	10	0.11849044
11	1	11	0.11793827
12	2	1	0.13471946
13	2	2	0.13584624
14	2	3	0.13740692
15	2	4	0.13530116
16	2	5	0.13078915
17	2	6	0.13324669
18	2	7	0.12708907
19	2	8	0.12965432
20	2	9	0.12585026
21	2	10	0.12561724
22	2	11	0.12788726
23	3	1	0.13465028
24	3	2	0.1365009
25	3	3	0.13087499
26	3	4	0.13934907
27	3	5	0.13104577
28	3	6	0.13382265
29	3	7	0.1332186
30	3	8	0.13074118
31	3	9	0.13130414
32	3	10	0.1207251
33	3	11	0.12257607
34	4	1	0.12184942
35	4	2	0.12992437
36	4	3	0.13037978
37	4	4	0.12433986
38	4	5	0.1293876
39	4	6	0.12426249
40	4	7	0.12547086
41	4	8	0.12657452
42	4	9	0.12512697
43	4	10	0.12056632
44	4	11	0.11875733
