Point	Row	Column	_s_MaxIntensity
1	1	1	0.045775786
2	1	2	0.049715012
3	1	3	0.050415665
4	1	4	0.033665441
5	1	5	0.038071904
6	1	6	0.024668446
7	1	7	0.025699554
8	1	8	0.020006547
9	1	9	0.016471254
10	1	10	0.025757205
11	1	11	0.11484872
12	2	1	0.054356951
13	2	2	0.060481209
14	2	3	0.054748431
15	2	4	0.05018444
16	2	5	0.046978727
17	2	6	0.038301285
18	2	7	0.032967146
19	2	8	0.031412777
20	2	9	0.03428131
21	2	10	0.024853028
22	2	11	0.05929165
23	3	1	0.065585956
24	3	2	0.066726245
25	3	3	0.061231907
26	3	4	0.051629886
27	3	5	0.051976819
28	3	6	0.045362752
29	3	7	0.039735395
30	3	8	0.032749608
31	3	9	0.025517559
32	3	10	0.026997948
33	3	11	0.042319901
34	4	1	0.055229533
35	4	2	0.065847583
36	4	3	0.050914288
37	4	4	0.057850111
38	4	5	0.05021657
39	4	6	0.044767212
40	4	7	0.044659957
41	4	8	0.044866994
42	4	9	0.040668204
43	4	10	0.041903783
44	4	11	0.055085689
