Point	Row	Column	Norm_d
1	1	1	0.3522751
2	1	2	0.41539106
3	1	3	0.48983017
4	1	4	0.52212203
5	1	5	0.53365487
6	1	6	0.52400923
7	1	7	0.47829732
8	1	8	0.3981967
9	1	9	0.31557977
10	1	10	0.21597819
11	1	11	0.19731601
12	2	1	0.68672675
13	2	2	0.78423148
14	2	3	0.90480185
15	2	4	0.96728873
16	2	5	1
17	2	6	0.99790311
18	2	7	0.93562591
19	2	8	0.85279936
20	2	9	0.73851961
21	2	10	0.58901238
22	2	11	0.44768295
23	3	1	0.52694488
24	3	2	0.64311177
25	3	3	0.74942338
26	3	4	0.81463617
27	3	5	0.8689453
28	3	6	0.85720277
29	3	7	0.84357309
30	3	8	0.76850492
31	3	9	0.66638708
32	3	10	0.55420423
33	3	11	0.39274481
34	4	1	0.063535333
35	4	2	0.13336129
36	4	3	0.19165443
37	4	4	0.22478507
38	4	5	0.25393164
39	4	6	0.25267351
40	4	7	0.25665757
41	4	8	0.22688195
42	4	9	0.17613755
43	4	10	0.095198154
44	4	11	0
